## 1
## 앞서 북한의 중앙방송은 13일 아나운서가 낭송한 김일성추모방송을 통해 북한군은 『세상이 열백번 변한다 해도 추호의 동요없이 최고사령관의 영도를 충성으로 받들어 나갈 것이며 총대로 최고사령관을 결사 옹위할 것』이라고 주장했다.
## 앞서 <북한:ORG>의 <중앙방송:ORG>은 <13일:DAT> 아나운서가 낭송한 <김일성:PER>추모방송을 통해 <북한군:ORG>은 『세상이 <열백번:NOH> 변한다 해도 추호의 동요없이 최고사령관의 영도를 충성으로 받들어 나갈 것이며 총대로 최고사령관을 결사 옹위할 것』이라고 주장했다.
앞서	앞서+어	VV+EC	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
중앙방송	중앙방송	NNP	B-ORG
은	은	JX	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
아나운서	아나운서	NNG	O
가	가	JKS	O
_	_	_	O
낭송한	낭송하+ㄴ	VV+ETM	O
_	_	_	O
김일성	김일성	NNP	B-PER
추모	추모	NNG	O
방송	방송	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
북한	북한	NNP	B-ORG
군	군	NNG	I-ORG
은	은	JX	O
_	_	_	O
『	『	SS	O
세상	세상	NNG	O
이	이	JKS	O
_	_	_	O
열	열	NNG	B-NOH
백	백	NR	I-NOH
번	번	NNB	I-NOH
_	_	_	O
변한다	변하+ㄴ다	VV+EC	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
추호	추호	NNG	O
의	의	JKG	O
_	_	_	O
동요	동요	NNG	O
없이	없이	MAG	O
_	_	_	O
최고	최고	NNG	O
사령관	사령관	NNG	O
의	의	JKG	O
_	_	_	O
영도	영도	NNP	O
를	를	JKO	O
_	_	_	O
충성	충성	NNG	O
으로	으로	JKB	O
_	_	_	O
받들	받들	VV	O
어	어	EC	O
_	_	_	O
나갈	나가+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
총대	총대	NNG	O
로	로	JKB	O
_	_	_	O
최고	최고	NNG	O
사령관	사령관	NNG	O
을	을	JKO	O
_	_	_	O
결사	결사	NNG	O
_	_	_	O
옹위할	옹위하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
』	』	SS	O
이라고	이라고	JKQ	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 일본의 4월중 경상수지 흑자가 지난해 같은 기간에 비해 22.6% 증가한 1백39억8천만달러를 기록했다고 일본 대장성이 3일 밝혔다.
## <일본:ORG>의 <4월:DAT>중 경상수지 흑자가 지난해 같은 기간에 비해 <22.6%:PNT> 증가한 <1백39억8천만달러:MNY>를 기록했다고 <일본 대장성:ORG>이 <3일:DAT> 밝혔다.
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
중	중	NNB	O
_	_	_	O
경상	경상	NNG	O
수지	수지	NNG	O
_	_	_	O
흑자	흑자	NNG	O
가	가	JKS	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
기간	기간	NNG	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
22.6	22.6	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
증가한	증가하+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-MNY
백	백	NR	I-MNY
39	39	SN	I-MNY
억	억	NR	I-MNY
8	8	SN	I-MNY
천만	천만	NR	I-MNY
달러	달러	NNB	I-MNY
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	I-ORG
대장성	대장성	NNG	I-ORG
이	이	JKS	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 기업에 228억 가치 기술이전 … 76년 실용학풍 꽃 피웠다
## 기업에 <228억:MNY> 가치 기술이전 … <76년:DAT> 실용학풍 꽃 피웠다
기업	기업	NNG	O
에	에	JKB	O
_	_	_	O
228	228	SN	B-MNY
억	억	NR	I-MNY
_	_	_	O
가치	가치	NNG	O
_	_	_	O
기술이전	기술이전	NNG	O
_	_	_	O
…	…	SE	O
_	_	_	O
76	76	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
실용	실용	NNG	O
학풍	학풍	NNG	O
_	_	_	O
꽃	꽃	NNG	O
_	_	_	O
피	피우	VV	O
웠	었	EP	O
다	다	EF	O

## 4
## 오바마 대통령은 “한국은 교사들에게 의사만큼 봉급을 주고, 교육(교사)을 최고의 직업으로 여긴다”고 말했다.
## <오바마:PER> 대통령은 “<한국:ORG>은 교사들에게 의사만큼 봉급을 주고, 교육(교사)을 최고의 직업으로 여긴다”고 말했다.
오바마	오바마	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
교사	교사	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
의사	의사	NNG	O
만큼	만큼	JX	O
_	_	_	O
봉급	봉급	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
교육	교육	NNG	O
(	(	SS	O
교사	교사	NNG	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
직업	직업	NNG	O
으로	으로	JKB	O
_	_	_	O
여긴다	여기+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 자유한국당 “문재인 회의록 거짓말, 형사고발 추진할 것”
## <자유한국당:ORG> “<문재인:PER> 회의록 거짓말, 형사고발 추진할 것”
자유	자유	NNG	B-ORG
한국	한국	NNP	I-ORG
당	당	XSN	I-ORG
_	_	_	O
“	“	SS	O
문재인	문재인	NNP	B-PER
_	_	_	O
회의록	회의록	NNG	O
_	_	_	O
거짓말	거짓말	NNG	O
,	,	SP	O
_	_	_	O
형사	형사	NNG	O
고발	고발	NNG	O
_	_	_	O
추진할	추진하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O

## 6
## 애플은 이용자가 사진을 찍으면 위성위치확인시스템(GPS) 데이터베이스를 바탕으로 사진을 촬영한 위치를 함께 기록하는데 애플은 참석자가 촬영한 사진의 장소를 일본 오키노시마로 표시했다.
## <애플:ORG>은 이용자가 사진을 찍으면 위성위치확인시스템(GPS) 데이터베이스를 바탕으로 사진을 촬영한 위치를 함께 기록하는데 <애플:ORG>은 참석자가 촬영한 사진의 장소를 <일본 오키노시마:LOC>로 표시했다.
애플	애플	NNP	B-ORG
은	은	JX	O
_	_	_	O
이용자	이용자	NNG	O
가	가	JKS	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
찍	찍	VV	O
으면	으면	EC	O
_	_	_	O
위성	위성	NNG	O
위치	위치	NNG	O
확인	확인	NNG	O
시스템	시스템	NNG	O
(	(	SS	O
GPS	GPS	SL	O
)	)	SS	O
_	_	_	O
데이터베이스	데이터베이스	NNG	O
를	를	JKO	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
촬영한	촬영하+ㄴ	VV+ETM	O
_	_	_	O
위치	위치	NNG	O
를	를	JKO	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
기록하	기록하	VV	O
는	는	ETM	O
데	데	NNB	O
_	_	_	O
애플	애플	NNP	B-ORG
은	은	JX	O
_	_	_	O
참석자	참석자	NNG	O
가	가	JKS	O
_	_	_	O
촬영한	촬영하+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
의	의	JKG	O
_	_	_	O
장소	장소	NNG	O
를	를	JKO	O
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	I-LOC
오키노시마	오키노시마	NNG	I-LOC
로	로	JKB	O
_	_	_	O
표시	표시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 외국계 증권사가 지난해 내놓은 보고서 중 17.7%가 ‘매도’ 의견을 보인 것과 크게 비교된다.
## 외국계 증권사가 지난해 내놓은 보고서 중 <17.7%:PNT>가 ‘매도’ 의견을 보인 것과 크게 비교된다.
외국	외국	NNG	O
계	계	XSN	O
_	_	_	O
증권사	증권사	NNG	O
가	가	JKS	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
내놓	내놓	VV	O
은	은	ETM	O
_	_	_	O
보고서	보고서	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
17.7	17.7	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
매도	매도	NNG	O
’	’	SS	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
보인	보이+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
과	과	JKB	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
비교된다	비교되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 쉐누 뷔페는 천연 식자재를 사용하여 기름에 튀기지 않고 삶거나 그릴에 직접 구은 조리법과 100% 엑스트라 버진 올리브 오일을 사용하는 웰빙요리를 갖추고 있다.
## <쉐누 뷔페:ORG>는 천연 식자재를 사용하여 기름에 튀기지 않고 삶거나 그릴에 직접 구은 조리법과 <100%:PNT> 엑스트라 버진 올리브 오일을 사용하는 웰빙요리를 갖추고 있다.
쉐	쉐	NNG	B-ORG
누	눕	VV	I-ORG
_	_	_	I-ORG
뷔페	뷔페	NNG	I-ORG
는	는	JX	O
_	_	_	O
천연	천연	NNG	O
_	_	_	O
식	식	NNG	O
자재	자재	NNG	O
를	를	JKO	O
_	_	_	O
사용하	사용하	VV	O
여	여	EC	O
_	_	_	O
기름	기름	NNG	O
에	에	JKB	O
_	_	_	O
튀기	튀기	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
삶	삶	VV	O
거나	거나	EC	O
_	_	_	O
그릴	그릴	NNG	O
에	에	JKB	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
구은	구은	NNG	O
_	_	_	O
조리법	조리법	NNG	O
과	과	JC	O
