## 1
## 한밤 이태임, 5개월 침묵 깨고 예원 언급… “지날수록 후회가 많이 됐다”
## 한밤 <이태임:PER>, <5개월:DUR> 침묵 깨고 <예원:PER> 언급… “지날수록 후회가 많이 됐다”
한밤	한밤	NNG	O
_	_	_	O
이태임	이태임	NNP	B-PER
,	,	SP	O
_	_	_	O
5	5	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	O
침묵	침묵	NNG	O
_	_	_	O
깨	깨	VV	O
고	고	EC	O
_	_	_	O
예원	예원	NNG	B-PER
_	_	_	O
언급	언급	NNG	O
…	…	SE	O
_	_	_	O
“	“	SS	O
지날수록	지나+ㄹ수록	VV+EC	O
_	_	_	O
후회	후회	NNG	O
가	가	JKC	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O

## 2
## 광산 가동률도 대부분 50%에 미치지 못하고 있는 데다
## 광산 가동률도 대부분 <50%:PNT>에 미치지 못하고 있는 데다
광산	광산	NNG	O
_	_	_	O
가동률	가동률	NNG	O
도	도	JX	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
미치	미치	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
다	다	JX	O

## 3
## 2년 뒤 인근 아파트단지에 김포도시철도도 개통하면 여의도는 20분이면 충분히 갈 것으로 보입니다.
## <2년:NOH> 뒤 인근 아파트단지에 <김포도시철도:LOC>도 개통하면 <여의도:LOC>는 <20분:NOH>이면 충분히 갈 것으로 보입니다.
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
인근	인근	NNG	O
_	_	_	O
아파트	아파트	NNG	O
단지	단지	NNG	O
에	에	JKB	O
_	_	_	O
김포	김포	NNP	B-LOC
도시	도시	NNG	I-LOC
철도	철도	NNG	I-LOC
도	도	JX	O
_	_	_	O
개통하	개통하	VV	O
면	면	EC	O
_	_	_	O
여의도	여의도	NNP	B-LOC
는	는	JX	O
_	_	_	O
20	20	SN	B-NOH
분	분	NNB	I-NOH
이	이	VCP	O
면	면	EC	O
_	_	_	O
충분히	충분히	MAG	O
_	_	_	O
갈	가+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보입니다	보이+ㅂ니다	VV+EF	O
.	.	SF	O

## 4
## ”23일 송희용 한화건설 분양소장은 경기도 김포시 풍무5지구 3~5블록 일원에 들어설 ‘김포 풍무 꿈에그린 2차’가 분양 가격과 서울 접근성 측면에서 수요자들의 만족도를 높여줄 것이라고 강조했다.
## ”<23일:DAT> <송희용:PER> <한화건설:ORG> 분양소장은 <경기도:LOC> <김포시:LOC> <풍무5지구 3~5블록:LOC> 일원에 들어설 ‘<김포 풍무 꿈에그린 2차:LOC>’가 분양 가격과 <서울:LOC> 접근성 측면에서 수요자들의 만족도를 높여줄 것이라고 강조했다.
”	”	SS	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
송희용	송희용	NNP	B-PER
_	_	_	O
한화	한화	NNP	B-ORG
건설	건설	NNG	I-ORG
_	_	_	O
분양	분양	NNG	O
소장	소장	NNG	O
은	은	JX	O
_	_	_	O
경기도	경기도	NNP	B-LOC
_	_	_	O
김포시	김포시	NNP	B-LOC
_	_	_	O
풍	풍	NNG	B-LOC
무	무	NNG	I-LOC
5	5	SN	I-LOC
지구	지구	NNG	I-LOC
_	_	_	I-LOC
3	3	SN	I-LOC
~	~	SO	I-LOC
5	5	SN	I-LOC
블록	블록	NNG	I-LOC
_	_	_	O
일원	일원	NNG	O
에	에	JKB	O
_	_	_	O
들어설	들어서+ㄹ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
김포	김포	NNP	B-LOC
_	_	_	I-LOC
풍	풍	NNG	I-LOC
무	무	NNG	I-LOC
_	_	_	I-LOC
꿈에	꿈에	NNP	I-LOC
그린	그린	NNG	I-LOC
_	_	_	I-LOC
2	2	SN	I-LOC
차	차	NNB	I-LOC
’	’	SS	O
가	가	JKS	O
_	_	_	O
분양	분양	NNG	O
_	_	_	O
가격	가격	NNG	O
과	과	JC	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
접근성	접근성	NNG	O
_	_	_	O
측면	측면	NNG	O
에서	에서	JKB	O
_	_	_	O
수요자	수요자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
만족도	만족도	NNG	O
를	를	JKO	O
_	_	_	O
높	높이	VV	O
여	어	EC	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 민자당의 곽영달의원 등은 『김일성의 사주를 받는 집단이 사회혼란을 야기하는 것도 큰 문제』라며 최근 한총련 등의 친북용공 언행을 우려했다.
## <민자당:ORG>의 <곽영달:PER>의원 등은 『<김일성:PER>의 사주를 받는 집단이 사회혼란을 야기하는 것도 큰 문제』라며 최근 <한총련:ORG> 등의 친북용공 언행을 우려했다.
민자당	민자당	NNP	B-ORG
의	의	JKG	O
_	_	_	O
곽영달	곽영달	NNP	B-PER
의원	의원	NNG	O
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
『	『	SS	O
김일성	김일성	NNP	B-PER
의	의	JKG	O
_	_	_	O
사주	사주	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
집단	집단	NNG	O
이	이	JKS	O
_	_	_	O
사회	사회	NNG	O
혼란	혼란	NNG	O
을	을	JKO	O
_	_	_	O
야기하	야기하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
문제	문제	NNG	O
』	』+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
한총련	한총련	NNP	B-ORG
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
친	친	XPN	O
북	북	NNP	O
용공	용공	NNG	O
_	_	_	O
언행	언행	NNG	O
을	을	JKO	O
_	_	_	O
우려	우려하	VV	O
했	였	EP	O
