## 1
## 이성간 콘돔을 착용하지 않고 성관계를 맺었을 때 HIV에 감염될 확률은 1회 당 0.01~1.0%로 보고되고 있다.
## 이성간 콘돔을 착용하지 않고 성관계를 맺었을 때 <HIV:POH>에 감염될 확률은 <1회:NOH> 당 <0.01:PNT>~<1.0%:PNT>로 보고되고 있다.
이성	이성	NNG	O
간	간	NNB	O
_	_	_	O
콘돔	콘돔	NNG	O
을	을	JKO	O
_	_	_	O
착용하	착용하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
성	성	NNG	O
관계	관계	NNG	O
를	를	JKO	O
_	_	_	O
맺	맺	VV	O
었	었	EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
HIV	HIV	SL	B-POH
에	에	JKB	O
_	_	_	O
감염될	감염되+ㄹ	VV+ETM	O
_	_	_	O
확률	확률	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
당	당	NNG	O
_	_	_	O
0.01	0.01	SN	B-PNT
~	~	SO	O
1.0	1.0	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
보고되	보고되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 이로써 「이것만은 지킵시다」 수칙은 지난 7월19일 처음 제작된 이래 이날 현재 모두 1천55만장이 제작됐다.
## 이로써 「<이것만은 지킵시다:POH>」 수칙은 지난 <7월19일:DAT> 처음 제작된 이래 이날 현재 모두 <1천55만장:NOH>이 제작됐다.
이	이	NP	O
로써	로써	JKB	O
_	_	_	O
「	「	SS	O
이것	이것	NP	B-POH
만	만	JX	I-POH
은	은	JX	I-POH
_	_	_	I-POH
지킵시다	지키+ㅂ시다	VV+EF	I-POH
」	」	SS	O
_	_	_	O
수칙	수칙	NNG	O
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
19	19	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
처음	처음	NNG	O
_	_	_	O
제작된	제작되+ㄴ	VV+ETM	O
_	_	_	O
이래	이래	NNB	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
1	1	SN	B-NOH
천	천	NR	I-NOH
55	55	SN	I-NOH
만	만	NR	I-NOH
장	장	NNB	I-NOH
이	이	JKS	O
_	_	_	O
제작	제작되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 최씨는 지난해 8월1일 오전 3시께 경기 안성시 당왕동 2층짜리 단독주택에 침입해 금품을 훔치려다 잠에서 깬 A씨(63)와 부인 B씨(56)를 흉기와 둔기로 수차례 찌르고 때려 살해한 뒤 불을 지른 혐의로 기소됐다.
## <최:PER>씨는 지난해 <8월1일:DAT> <오전 3시:TIM>께 <경기 안성시 당왕동:LOC> <2층:NOH>짜리 단독주택에 침입해 금품을 훔치려다 잠에서 깬 <A:PER>씨(<63:NOH>)와 부인 <B:PER>씨(<56:NOH>)를 흉기와 둔기로 수차례 찌르고 때려 살해한 뒤 불을 지른 혐의로 기소됐다.
최	최	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
1	1	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
3	3	SN	I-TIM
시	시	NNB	I-TIM
께	께	XSN	O
_	_	_	O
경기	경기	NNP	B-LOC
_	_	_	I-LOC
안성시	안성시	NNP	I-LOC
_	_	_	I-LOC
당왕동	당왕동	NNP	I-LOC
_	_	_	O
2	2	SN	B-NOH
층	층	NNG	I-NOH
짜리	짜리	XSN	O
_	_	_	O
단독	단독	NNG	O
주택	주택	NNG	O
에	에	JKB	O
_	_	_	O
침입해	침입하+여	VV+EC	O
_	_	_	O
금품	금품	NNG	O
