## 1
## NHK는 “중국 선박이 (일본의) 영해를 침입한 것은 지난해 12월 26일 이후 처음”이라고 전했다.
## <NHK:ORG>는 “<중국:ORG> 선박이 (<일본:ORG>의) 영해를 침입한 것은 지난해 <12월 26일:DAT> 이후 처음”이라고 전했다.
NHK	NHK	SL	B-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
중국	중국	NNP	B-ORG
_	_	_	O
선박	선박	NNG	O
이	이	JKS	O
_	_	_	O
(	(	SS	O
일본	일본	NNP	B-ORG
의	의	JKG	O
)	)	SS	O
_	_	_	O
영해	영해	NNG	O
를	를	JKO	O
_	_	_	O
침입한	침입하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
26	26	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
이후	이후	NNG	O
_	_	_	O
처음	처음	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 학부모들 “지금도 모자란데 이해 안돼” 안철수 “병설유치원은 대폭 늘리겠다는 뜻”
## 학부모들 “지금도 모자란데 이해 안돼” <안철수:PER> “병설유치원은 대폭 늘리겠다는 뜻”
학부모	학부모	NNG	O
들	들	XSN	O
_	_	_	O
“	“	SS	O
지금	지금	NNG	O
도	도	JX	O
_	_	_	O
모자란데	모자라+ㄴ데	VV+EC	O
_	_	_	O
이해	이해	NNG	O
_	_	_	O
안돼	안되+어	VV+EF	O
”	”	SS	O
_	_	_	O
안철수	안철수	NNP	B-PER
_	_	_	O
“	“	SS	O
병설	병설	NNG	O
유치원	유치원	NNG	O
은	은	JX	O
_	_	_	O
대폭	대폭	MAG	O
_	_	_	O
늘리	늘리	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
뜻	뜻	NNG	O
”	”	SS	O

## 3
## 우병우 대통령민정수석비서관을 둘러싼 의혹도 논란이 됐다.
## <우병우:PER> 대통령민정수석비서관을 둘러싼 의혹도 논란이 됐다.
우병우	우병우	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
민정	민정	NNG	O
수석	수석	NNG	O
비서관	비서관	NNG	O
을	을	JKO	O
_	_	_	O
둘러싼	둘러싸+ㄴ	VV+ETM	O
_	_	_	O
의혹	의혹	NNG	O
도	도	JX	O
_	_	_	O
논란	논란	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 정승일 산업부 무역투자실장은 “유가가 전월보다 5달러 상승했지만 전년 동월보다 35% 이상 낮은 수준”이라며 “저유가로 인한 수출 하락세는 여전히 지속되고 있다”고 말했다.
## <정승일:PER> <산업부:ORG> 무역투자실장은 “유가가 전월보다 <5달러:MNY> 상승했지만 전년 동월보다 <35%:PNT> 이상 낮은 수준”이라며 “저유가로 인한 수출 하락세는 여전히 지속되고 있다”고 말했다.
정승일	정승일	NNP	B-PER
_	_	_	O
산업	산업	NNG	B-ORG
부	부	NNG	I-ORG
_	_	_	O
무역	무역	NNG	O
투자	투자	NNG	O
실장	실장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
유가	유가	NNG	O
가	가	JKS	O
_	_	_	O
전월	전월	NNG	O
보다	보다	JKB	O
_	_	_	O
5	5	SN	B-MNY
