## 1
## 본회의에 앞서 열린 새정치민주연합 의총에서 ‘양심에 따라 자유투표에 임한다’는 결정에 따른 것. 한편 원내 의석을 5석 갖고 있는 정의당은 이날 임명동의안 인준 표결에 불참한 것으로 알려졌다.
## 본회의에 앞서 열린 <새정치민주연합 의총:POH>에서 ‘양심에 따라 자유투표에 임한다’는 결정에 따른 것. 한편 원내 의석을 <5석:NOH> 갖고 있는 <정의당:ORG>은 이날 임명동의안 인준 표결에 불참한 것으로 알려졌다.
본회의	본회의	NNG	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
새정치민주연합	새정치민주연합	NNP	B-POH
_	_	_	I-POH
의총	의총	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
양심	양심	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
자유	자유	NNG	O
투표	투표	NNG	O
에	에	JKB	O
_	_	_	O
임한다	임하+ㄴ다	VV+EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
결정	결정	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
_	_	_	O
한편	한편	MAG	O
_	_	_	O
원내	원내	NNG	O
_	_	_	O
의석	의석	NNG	O
을	을	JKO	O
_	_	_	O
5	5	SN	B-NOH
석	석	NNB	I-NOH
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
정의당	정의당	NNP	B-ORG
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
임명	임명	NNG	O
동의	동의	NNG	O
안	안	NNG	O
_	_	_	O
인준	인준	NNG	O
_	_	_	O
표결	표결	NNG	O
에	에	JKB	O
_	_	_	O
불참한	불참하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘송도맥주축제 2015’송도맥주축제로 유명한 제5회 ‘2015 송도 세계문화축제’가 개최된다.
## ‘<송도맥주축제:POH> <2015:DAT>’<송도맥주축제:POH>로 유명한 <제5회:NOH> ‘<2015:DAT> <송도 세계문화축제:POH>’가 개최된다.
‘	‘	SS	O
송도	송도	NNP	B-POH
맥주	맥주	NNG	I-POH
축제	축제	NNG	I-POH
_	_	_	O
2015	2015	SN	B-DAT
’	’	SS	O
송도	송도	NNP	B-POH
맥주	맥주	NNG	I-POH
축제	축제	NNG	I-POH
로	로	JKB	O
_	_	_	O
유명한	유명하+ㄴ	VA+ETM	O
_	_	_	O
제	제	XPN	B-NOH
5	5	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-DAT
_	_	_	O
송도	송도	NNP	B-POH
_	_	_	I-POH
세계	세계	NNG	I-POH
문화	문화	NNG	I-POH
축제	축제	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
개최된다	개최되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 전 세계의 맥주를 체험할 수 있어 ‘송도맥주축제’로 불리는 이 축제는 28일 개막해 다음 달 5일까지 9일간 열린다.
## 전 세계의 맥주를 체험할 수 있어 ‘<송도맥주축제:POH>’로 불리는 이 축제는 <28일:DAT> 개막해 다음 달 <5일:DAT>까지 <9일간:DUR> 열린다.
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
의	의	JKG	O
_	_	_	O
맥주	맥주	NNG	O
를	를	JKO	O
_	_	_	O
체험할	체험하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
‘	‘	SS	O
송도	송도	NNP	B-POH
맥주	맥주	NNG	I-POH
축제	축제	NNG	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
불리	불리	VV	O
는	는	ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
축제	축제	NNG	O
는	는	JX	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
개막해	개막하+여	VV+EC	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
달	달	NNG	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
9	9	SN	B-DUR
일	일	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
열린다	열리+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## ‘송도맥주축제’의 주요행사는 음악페스티벌, 전 세계 맥주 체험 행사 등으로 준비됐다.
## ‘<송도맥주축제:POH>’의 주요행사는 음악페스티벌, 전 세계 맥주 체험 행사 등으로 준비됐다.
