## 1
## 2008년 베이징올림픽을 앞두고 열린 80회 동아수영대회에서는 자유형 400m에서 3분43초59로, 자유형 200m에서 1분46초73으로 아시아신기록을 세웠다.
## <2008년:DAT> <베이징올림픽:POH>을 앞두고 열린 <80회:NOH> <동아수영대회:POH>에서는 자유형 <400m:NOH>에서 <3분43초59:NOH>로, 자유형 <200m:NOH>에서 <1분46초73:NOH>으로 <아시아:LOC>신기록을 세웠다.
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
베이징	베이징	NNP	B-POH
올림픽	올림픽	NNG	I-POH
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
80	80	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
동아	동아	NNP	B-POH
수영	수영	NNG	I-POH
대회	대회	NNG	I-POH
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
자유	자유	NNG	O
형	형	XSN	O
_	_	_	O
400	400	SN	B-NOH
m	m	SL	I-NOH
에서	에서	JKB	O
_	_	_	O
3	3	SN	B-NOH
분	분	NNB	I-NOH
43	43	SN	I-NOH
초	초	NNB	I-NOH
59	59	SN	I-NOH
로	로	JKB	O
,	,	SP	O
_	_	_	O
자유	자유	NNG	O
형	형	XSN	O
_	_	_	O
200	200	SN	B-NOH
m	m	SL	I-NOH
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
분	분	NNB	I-NOH
46	46	SN	I-NOH
초	초	NNB	I-NOH
73	73	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
아시아	아시아	NNP	B-LOC
신기록	신기록	NNG	O
을	을	JKO	O
_	_	_	O
세	세우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 유희관은 올스타전을 앞두고 “어제 늦게 잠들었는데 아침에 눈이 일찍 떠졌다.
## <유희관:PER>은 <올스타전:POH>을 앞두고 “어제 늦게 잠들었는데 <아침:TIM>에 눈이 일찍 떠졌다.
유희관	유희관	NNP	B-PER
은	은	JX	O
_	_	_	O
올스타	올스타	NNG	B-POH
전	전	XSN	I-POH
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
“	“	SS	O
어제	어제	NNG	O
_	_	_	O
늦	늦	VA	O
게	게	EC	O
_	_	_	O
잠들	잠들	VV	O
었	었	EP	O
는데	는데	EC	O
_	_	_	O
아침	아침	NNG	B-TIM
에	에	JKB	O
_	_	_	O
눈	눈	NNG	O
이	이	JKS	O
_	_	_	O
일찍	일찍	MAG	O
_	_	_	O
떠	+어+지	+EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 유 후보는 그런 진 전 장관을 두고 “장관을 지내셨고 우리 캠프의 가장 큰 누나”라고 설명하고 있다.
## <유:PER> 후보는 그런 <진:PER> 전 장관을 두고 “장관을 지내셨고 우리 캠프의 가장 큰 누나”라고 설명하고 있다.
유	유	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
진	진	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
장관	장관	NNG	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
“	“	SS	O
장관	장관	NNG	O
을	을	JKO	O
_	_	_	O
지내	지내+시	VV+EP	O
셨	었	EP	O
고	고	EC	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
캠프	캠프	NNG	O
의	의	JKG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
누나	누나	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
설명하	설명하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
