## 1
## 패스트푸드의 대명사인 햄버거를 고급 요리로 탈바꿈시켰다는 점을 강조한 쉐이크쉑도 이와 통한다.
## <패스트푸드:ORG>의 대명사인 햄버거를 고급 요리로 탈바꿈시켰다는 점을 강조한 쉐이크쉑도 이와 통한다.
패스트푸드	패스트푸드	NNG	B-ORG
의	의	JKG	O
_	_	_	O
대명사	대명사	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
햄버거	햄버거	NNG	O
를	를	JKO	O
_	_	_	O
고급	고급	NNG	O
_	_	_	O
요리	요리	NNG	O
로	로	JKB	O
_	_	_	O
탈바꿈	탈바꿈	NNG	O
시	시키	XSV	O
켰	었	EP	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
강조한	강조하+ㄴ	VV+ETM	O
_	_	_	O
쉐이크	쉐이크	NNG	O
쉑	쉑	NNP	O
도	도	JX	O
_	_	_	O
이	이	NP	O
와	와	JKB	O
_	_	_	O
통한다	통하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 10년간 최다판매 작가는 '무라카미 하루키'…순위에 오른 한국 작가는?
## <10년간:DUR> 최다판매 작가는 '<무라카미 하루키:PER>'…순위에 오른 <한국:LOC> 작가는?
10	10	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
최다	최다	NNG	O
판매	판매	NNG	O
_	_	_	O
작가	작가	NNG	O
는	는	JX	O
_	_	_	O
'	'	SS	O
무라카미	무라카미	NNP	B-PER
_	_	_	I-PER
하루키	하루키	NNP	I-PER
'	'	SS	O
…	…	SE	O
순위	순위	NNG	O
에	에	JKB	O
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
작가	작가	NNG	O
는	는	JX	O
?	?	SF	O

## 3
## 이로써 지드래곤은 빅뱅으로 발표한 ‘판타스틱 베이비’와 ‘뱅뱅뱅’, ‘루저’, ‘배드 보이’를 비롯해 태양과 함께 발표한 ‘굿보이’와 이번 ‘삐딱하게’까지 총 6곡의 뮤직비디오가 모두 1억뷰를 돌파하는 기록을 세웠다.
## 이로써 <지드래곤:PER>은 <빅뱅:ORG>으로 발표한 ‘<판타스틱 베이비:POH>’와 ‘<뱅뱅뱅:POH>’, ‘<루저:POH>’, ‘<배드 보이:POH>’를 비롯해 <태양:PER>과 함께 발표한 ‘<굿보이:POH>’와 이번 ‘<삐딱하게:POH>’까지 총 <6곡:NOH>의 뮤직비디오가 모두 <1억뷰:NOH>를 돌파하는 기록을 세웠다.
이	이	NP	O
로써	로써	JKB	O
_	_	_	O
지드래곤	지드래곤	NNP	B-PER
은	은	JX	O
_	_	_	O
빅뱅	빅뱅	NNG	B-ORG
으로	으로	JKB	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
판타스틱	판타스틱	NNG	B-POH
_	_	_	I-POH
베이비	베이비	NNG	I-POH
’	’	SS	O
와	와	JC	O
_	_	_	O
‘	‘	SS	O
뱅뱅뱅	뱅뱅뱅	NNP	B-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
루저	루저	NNG	B-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
배드	배드	NNG	B-POH
_	_	_	I-POH
보이	보이	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
태양	태양	NNG	B-PER
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
굿보이	굿보이	NNP	B-POH
’	’	SS	O
와	와	JKB	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
‘	‘	SS	O
삐딱하	삐딱하	VA	B-POH
게	게	EF	I-POH
’	’	SS	O
까지	까지	JX	O
_	_	_	O
총	총	MM	O
_	_	_	O
6	6	SN	B-NOH
곡	곡	NNG	I-NOH
의	의	JKG	O
_	_	_	O
뮤직	뮤직	NNG	O
비디오	비디오	NNG	O
가	가	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
1	1	SN	B-NOH
억	억	NR	I-NOH
뷰	뷰	NNG	I-NOH
를	를	JKO	O
_	_	_	O
돌파하	돌파하	VV	O
는	는	ETM	O
_	_	_	O
기록	기록	NNG	O
을	을	JKO	O
_	_	_	O
세	세우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 듀엣 파트너 규현(슈퍼주니어)의 가창에 힘을 더 실어줬다.
