## 1
## 유 후보는 “차관급 부처인 국가보훈처로는 정상적인 정책 입안과 타부처와 협조, 예산, 정책시행이 제한되고 보훈외교 대상 국가가 대부분 장관급으로 돼 있어 보훈외교도 취약하다”며 “국가보훈처를 장관급인 보훈부로 격상할 것”이라고 약속했다.
## <유:PER> 후보는 “차관급 부처인 <국가보훈처:ORG>로는 정상적인 정책 입안과 타부처와 협조, 예산, 정책시행이 제한되고 보훈외교 대상 국가가 대부분 장관급으로 돼 있어 보훈외교도 취약하다”며 “<국가보훈처:ORG>를 장관급인 <보훈부:ORG>로 격상할 것”이라고 약속했다.
유	유	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
차관	차관	NNG	O
급	급	NNG	O
_	_	_	O
부처	부처	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
국가	국가	NNG	B-ORG
보훈	보훈	NNG	I-ORG
처	처	XSN	I-ORG
로	로	JKB	O
는	는	JX	O
_	_	_	O
정상적	정상적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
정책	정책	NNG	O
_	_	_	O
입안	입안	NNG	O
과	과	JC	O
_	_	_	O
타	타	MM	O
부처	부처	NNG	O
와	와	JC	O
_	_	_	O
협조	협조	NNG	O
,	,	SP	O
_	_	_	O
예산	예산	NNG	O
,	,	SP	O
_	_	_	O
정책	정책	NNG	O
시행	시행	NNG	O
이	이	JKS	O
_	_	_	O
제한되	제한되	VV	O
고	고	EC	O
_	_	_	O
보훈	보훈	NNG	O
외교	외교	NNG	O
_	_	_	O
대상	대상	NNG	O
_	_	_	O
국가	국가	NNG	O
가	가	JKS	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
장관	장관	NNG	O
급	급	NNG	O
으로	으로	JKB	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
보훈	보훈	NNG	O
외교	외교	NNG	O
도	도	JX	O
_	_	_	O
취약하	취약하	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
국가	국가	NNG	B-ORG
보훈	보훈	NNG	I-ORG
처	처	XSN	I-ORG
를	를	JKO	O
_	_	_	O
장관	장관	NNG	O
급	급	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
보훈	보훈	NNG	B-ORG
부	부	XSN	I-ORG
로	로	JKB	O
_	_	_	O
격상할	격상하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
약속	약속하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이어 “청와대 정무수석비서간실 내에 보훈비서관을 신설하고 대통령과 국가보훈처, 보훈현장과 소통을 원활하게 하고 정책 추진의 동력을 강화할 것”이라며 “총리 주관 국가보훈 중앙협의회 및 국무조정실 내 실무조직을 구성하겠다”고 말했다.
## 이어 “<청와대 정무수석비서간실:ORG> 내에 보훈비서관을 신설하고 대통령과 <국가보훈처:ORG>, 보훈현장과 소통을 원활하게 하고 정책 추진의 동력을 강화할 것”이라며 “총리 주관 <국가보훈 중앙협의회:ORG> 및 <국무조정실:ORG> 내 실무조직을 구성하겠다”고 말했다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
청와대	청와대	NNP	B-ORG
_	_	_	I-ORG
정무	정무	NNG	I-ORG
수석	수석	NNG	I-ORG
비서	비서	NNG	I-ORG
간	간	NNB	I-ORG
실	실	XSN	I-ORG
_	_	_	O
내	내	NNB	O
에	에	JKB	O
_	_	_	O
보훈	보훈	NNG	O
비서관	비서관	NNG	O
을	을	JKO	O
_	_	_	O
신설하	신설하	VV	O
고	고	EC	O
_	_	_	O
대통령	대통령	NNG	O
과	과	JC	O
_	_	_	O
국가	국가	NNG	B-ORG
보훈	보훈	NNG	I-ORG
처	처	XSN	I-ORG
,	,	SP	O
_	_	_	O
보훈	보훈	NNG	O
현장	현장	NNG	O
과	과	JKB	O
_	_	_	O
소통	소통	NNG	O
을	을	JKO	O
_	_	_	O
원활하	원활하	VA	O
게	게	EC	O
_	_	_	O
하	하	VX	O
고	고	EC	O
_	_	_	O
정책	정책	NNG	O
_	_	_	O
추진	추진	NNG	O
의	의	JKG	O
_	_	_	O
