## 1
## 축구 통계 전문사이트 후스코어드닷컴은 손흥민에게 양 팀 출전 선수를 통틀어 가장 낮은 평점인 5.8점을 줬다.
## 축구 통계 전문사이트 <후스코어드닷컴:POH>은 <손흥민:PER>에게 <양:NOH> 팀 출전 선수를 통틀어 가장 낮은 평점인 <5.8점:NOH>을 줬다.
축구	축구	NNG	O
_	_	_	O
통계	통계	NNG	O
_	_	_	O
전문	전문	NNG	O
사이트	사이트	NNG	O
_	_	_	O
후	후	NNG	B-POH
스코어	스코어	NNG	I-POH
드	드	NNP	I-POH
닷컴	닷컴	NNG	I-POH
은	은	JX	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
양	양	MM	B-NOH
_	_	_	O
팀	팀	NNG	O
_	_	_	O
출전	출전	NNG	O
_	_	_	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
통틀어	통틀어	MAG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
낮	낮	VA	O
은	은	ETM	O
_	_	_	O
평점	평점	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
5.8	5.8	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
줬	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 토트넘은 전반 26분 선제골을 내줬다.
## <토트넘:ORG>은 <전반 26분:TIM> 선제골을 내줬다.
토트넘	토트넘	NNP	B-ORG
은	은	JX	O
_	_	_	O
전반	전반	NNG	B-TIM
_	_	_	I-TIM
26	26	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
선제골	선제골	NNG	O
을	을	JKO	O
_	_	_	O
내	내주	VV	O
줬	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 앞서 지난해 12월 11일과 올해 3월 11일 모집을 끝낸 같은 전형의 경쟁률은 각각 4.4 대 1, 4.8 대 1이었다.
## 앞서 지난해 <12월 11일:DAT>과 올해 <3월 11일:DAT> 모집을 끝낸 같은 전형의 경쟁률은 각각 <4.4 대 1:PNT>, <4.8 대 1:PNT>이었다.
앞서	앞서+어	VV+EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
11	11	SN	I-DAT
일	일	NNB	I-DAT
과	과	JC	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
11	11	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
모집	모집	NNG	O
을	을	JKO	O
_	_	_	O
끝낸	끝내+ㄴ	VV+ETM	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
전형	전형	NNG	O
의	의	JKG	O
_	_	_	O
경쟁률	경쟁률	NNG	O
은	은	JX	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
4.4	4.4	SN	B-PNT
_	_	_	I-PNT
대	대	NNB	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
,	,	SP	O
_	_	_	O
4.8	4.8	SN	B-PNT
_	_	_	I-PNT
대	대	NNB	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 유해는 화장 뒤 고향인 미국 세인트루이스로 보내질 예정이다.
## 유해는 화장 뒤 고향인 <미국 세인트루이스:LOC>로 보내질 예정이다.
유해	유해	NNG	O
는	는	JX	O
_	_	_	O
화장	화장	NNG	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
고향	고향	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	I-LOC
세인트루이스	세인트루이스	NNP	I-LOC
로	로	JKB	O
_	_	_	O
보내	보내	VV	O
질	지+ㄹ	EC+JX	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 빌 클린턴 전 미국 대통령의 문담으로는 중산층 육성을 뜻하는 ‘미들아웃 경제학’이란 용어를 만든 에릭 류(47)가 유명하다.
