## 1
## 비수술 치료법 중 대표적인 것이 ‘경막외신경성형술’이다.
## 비수술 치료법 중 대표적인 것이 ‘<경막외신경성형술:POH>’이다.
비	비	XPN	O
수술	수술	NNG	O
_	_	_	O
치료법	치료법	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
대표적	대표적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
경막	경막	NNG	B-POH
외	외	NNB	I-POH
신경	신경	NNG	I-POH
성형술	성형술	NNG	I-POH
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 인천의 중소 식품제조업체들이 중국 시장에 안착하기까지는 험난한 여정의 연속이었다.
## <인천:LOC>의 중소 식품제조업체들이 <중국:LOC> 시장에 안착하기까지는 험난한 여정의 연속이었다.
인천	인천	NNP	B-LOC
의	의	JKG	O
_	_	_	O
중소	중소	NNG	O
_	_	_	O
식품	식품	NNG	O
제조	제조	NNG	O
업체	업체	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
시장	시장	NNG	O
에	에	JKB	O
_	_	_	O
안착하	안착하	VV	O
기	기	ETN	O
까지	까지	JX	O
는	는	JX	O
_	_	_	O
험난한	험난하+ㄴ	VA+ETM	O
_	_	_	O
여정	여정	NNG	O
의	의	JKG	O
_	_	_	O
연속	연속	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 구체적인 대응책 논의는 현재 체코를 방문 중인 기시다 후미오(岸田文雄) 외상이 11일 귀국하면 본격화될 것으로 보인다.
## 구체적인 대응책 논의는 현재 <체코:LOC>를 방문 중인 <기시다 후미오:PER>(<岸田文雄:PER>) 외상이 <11일:DAT> 귀국하면 본격화될 것으로 보인다.
구체적	구체적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
대응책	대응책	NNG	O
_	_	_	O
논의	논의	NNG	O
는	는	JX	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
체코	체코	NNP	B-LOC
를	를	JKO	O
_	_	_	O
방문	방문	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
기시다	기시다	NNP	B-PER
_	_	_	I-PER
후미오	후미오	NNP	I-PER
(	(	SS	O
岸田文雄	岸田文雄	SH	B-PER
)	)	SS	O
_	_	_	O
외상	외상	NNG	O
이	이	JKS	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
귀국하	귀국하	VV	O
면	면	EC	O
_	_	_	O
본격화될	본격화되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 서울대와 로보티즈는 각각 12위, 15위를 기록했다.
## <서울대:ORG>와 <로보티즈:ORG>는 각각 <12위:NOH>, <15위:NOH>를 기록했다.
서울대	서울대	NNP	B-ORG
와	와	JC	O
_	_	_	O
로보	로보	NNP	B-ORG
티즈	티즈	NNP	I-ORG
는	는	JX	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
12	12	SN	B-NOH
위	위	NNB	I-NOH
,	,	SP	O
_	_	_	O
15	15	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 샤넌 인형 외모 셀카, 공개 홍보?…왜요왜요는 '삼시세끼' BGM 접수 가수 샤넌의 '왜요 왜요'가 2주 연속 ‘삼시세끼-어촌편’ BGM으로 선정돼 화제다.
## <샤넌:PER> 인형 외모 셀카, 공개 홍보?…<왜요왜요:POH>는 '<삼시세끼:POH>' BGM 접수 가수 <샤넌:PER>의 '<왜요 왜요:POH>'가 <2주:DUR> 연속 ‘<삼시세끼-어촌편’:POH> BGM으로 선정돼 화제다.
샤	샤	NNP	B-PER
넌	너+ㄴ	NP+JX	I-PER
_	_	_	O
인형	인형	NNG	O
_	_	_	O
외모	외모	NNG	O
_	_	_	O
셀카	셀카	NNG	O
,	,	SP	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
홍보	홍보	NNG	O
?	?	SF	O
…	…	SE	O
왜요	왜요	NNG	B-POH
왜요	왜요	NNG	I-POH
는	는	JX	O
_	_	_	O
'	'	SS	O
삼시세끼	삼시세끼	NNP	B-POH
'	'	SS	O
_	_	_	O
BGM	BGM	SL	O
_	_	_	O
접수	접수	NNG	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
샤넌	샤넌	NNG	B-PER
의	의	JKG	O
_	_	_	O
'	'	SS	O
왜	왜	MAG	B-POH
요	요	JX	I-POH
_	_	_	I-POH
왜	왜	MAG	I-POH
요	요	JX	I-POH
'	'	SS	O
가	가	JKS	O
_	_	_	O
2	2	SN	B-DUR
주	주	NNB	I-DUR
_	_	_	O
