## 1
## 한편 두 팀의 경기는 1-1 무승부로 끝났다.
## 한편 <두 팀:NOH>의 경기는 <1-1:NOH> 무승부로 끝났다.
한편	한편	MAG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
팀	팀	NNG	I-NOH
의	의	JKG	O
_	_	_	O
경기	경기	NNG	O
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
_	_	_	O
무승부	무승부	NNG	O
로	로	JKB	O
_	_	_	O
끝났	끝나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 곽씨는 1초의 망설임도 없이 곧바로 뒤를 쫓았다.
## <곽:PER>씨는 <1초:NOH>의 망설임도 없이 곧바로 뒤를 쫓았다.
곽	곽	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
초	초	NNB	I-NOH
의	의	JKG	O
_	_	_	O
망설임	망설이+ㅁ	VV+ETN	O
도	도	JX	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
곧바로	곧바로	MAG	O
_	_	_	O
뒤	뒤	NNG	O
를	를	JKO	O
_	_	_	O
쫓	쫓	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한때 조계사 신도회 차원에서 “나가 달라”며 몸싸움까지 벌였지만 정작 당사자는 모르쇠로 일관하며 소셜네트워크서비스(SNS)를 통해 5일로 예정된 2차 총궐기 참여를 독려하고 있습니다.
## 한때 <조계사 신도회:ORG> 차원에서 “나가 달라”며 몸싸움까지 벌였지만 정작 당사자는 모르쇠로 일관하며 소셜네트워크서비스(SNS)를 통해 <5일:DAT>로 예정된 <2차:NOH> 총궐기 참여를 독려하고 있습니다.
한때	한때	NNG	O
_	_	_	O
조계사	조계사	NNG	B-ORG
_	_	_	I-ORG
신도	신도	NNG	I-ORG
회	회	XSN	I-ORG
_	_	_	O
차원	차원	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
나가	나가+아	VV+EC	O
_	_	_	O
달	달	VX	O
라	라	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
몸싸움	몸싸움	NNG	O
까지	까지	JX	O
_	_	_	O
벌	벌이	VV	O
였	었	EP	O
지만	지만	EC	O
_	_	_	O
정작	정작	NNG	O
_	_	_	O
당사자	당사자	NNG	O
는	는	JX	O
_	_	_	O
모르쇠	모르쇠	NNG	O
로	로	JKB	O
