## 1
## 한 길은 철로를 넘어 학교·카페·식당이 있는 거리 북쪽으로, 다른 길은 왕복 8차로 도로를 가로질러 도시 중심가로 이어졌다.
## <한 길:NOH>은 철로를 넘어 학교·카페·식당이 있는 거리 북쪽으로, 다른 길은 왕복 <8차로:NOH> 도로를 가로질러 도시 중심가로 이어졌다.
한	한	MM	B-NOH
_	_	_	I-NOH
길	길	NNG	I-NOH
은	은	JX	O
_	_	_	O
철로	철로	NNG	O
를	를	JKO	O
_	_	_	O
넘	넘	VV	O
어	어	EC	O
_	_	_	O
학교	학교	NNG	O
·	·	SP	O
카페	카페	NNG	O
·	·	SP	O
식당	식당	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
거리	거리	NNG	O
_	_	_	O
북쪽	북쪽	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
길	길	NNG	O
은	은	JX	O
_	_	_	O
왕복	왕복	NNG	O
_	_	_	O
8	8	SN	B-NOH
차	차	NNB	I-NOH
로	로	JKB	I-NOH
_	_	_	O
도로	도로	NNG	O
를	를	JKO	O
_	_	_	O
가로질	가로지르	VV	O
러	어	EC	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
중심가	중심가	NNG	O
로	로	JKB	O
_	_	_	O
이어	이어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ◆소규모 생활권도 존재=6개 생활권 안에 섬처럼 구분되는 소규모 생활권도 존재한다는 게 연구팀의 설명이다.
## ◆소규모 생활권도 존재=<6개:NOH> 생활권 안에 섬처럼 구분되는 소규모 생활권도 존재한다는 게 연구팀의 설명이다.
◆	◆	SW	O
소규모	소규모	NNG	O
_	_	_	O
생활권	생활권	NNG	O
도	도	JX	O
_	_	_	O
존재	존재	NNG	O
=	=	SW	O
6	6	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
생활권	생활권	NNG	O
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
섬	섬	NNG	O
처럼	처럼	JKB	O
_	_	_	O
구분되	구분되	VV	O
는	는	ETM	O
_	_	_	O
소규모	소규모	NNG	O
_	_	_	O
생활권	생활권	NNG	O
도	도	JX	O
_	_	_	O
존재한다는	존재하+ㄴ다는	VV+ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
연구	연구	NNG	O
팀	팀	NNG	O
의	의	JKG	O
_	_	_	O
설명	설명	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 전체 면적 0.32㎢ 중 65%가 임야여서 섬 자체가 하나의 거대한 숲을 이룬다.
## 전체 면적 <0.32㎢:NOH> 중 <65%:PNT>가 임야여서 섬 자체가 <하나:NOH>의 거대한 숲을 이룬다.
전체	전체	NNG	O
_	_	_	O
면적	면적	NNG	O
_	_	_	O
0.32	0.32	SN	B-NOH
㎢	㎢	SW	I-NOH
_	_	_	O
중	중	NNP	O
_	_	_	O
65	65	SN	B-PNT
