## 1
## 다만 책이나 휴대전화를 봐야 하는 거리에서 불편함을 느끼기 시작할 정도로 진행되는 게 40대이기 때문에 그 무렵부터 노안 증세를 느끼는 것이다.
## 다만 책이나 휴대전화를 봐야 하는 거리에서 불편함을 느끼기 시작할 정도로 진행되는 게 <40대:NOH>이기 때문에 그 무렵부터 노안 증세를 느끼는 것이다.
다만	다만	MAG	O
_	_	_	O
책	책	NNG	O
이나	이나	JC	O
_	_	_	O
휴대전화	휴대전화	NNG	O
를	를	JKO	O
_	_	_	O
봐야	보+아야	VV+EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
거리	거리	NNG	O
에서	에서	JKB	O
_	_	_	O
불편함	불편하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
느끼	느끼	VV	O
기	기	ETN	O
_	_	_	O
시작할	시작하+ㄹ	VV+ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
진행되	진행되	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
40	40	SN	B-NOH
대	대	NNG	I-NOH
이	이	VCP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
그	그	MM	O
_	_	_	O
무렵	무렵	NNB	O
부터	부터	JX	O
_	_	_	O
노안	노안	NNG	O
_	_	_	O
증세	증세	NNG	O
를	를	JKO	O
_	_	_	O
느끼	느끼	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## (문의 02-553-1323 홈페이지 www.i-appletree.com) 섭취방법 1. 하루 한 번 섭취할 때: 물1컵(200ml) + 1포를 넣어 식사 30분 전 한 잔(아침/저녁 무관)2. 온종일 섭취할 때: 500ml~1.5L 물병에 1포를 넣어 엷게 타서 아무 때나 수시로 섭취(식사 중에도 무관), 시원하게 또는 따뜻한 차로도 즐길 수 있다.
