## 1
## 그중에서도 백화점에 입점한 ‘자외선 차단제 최강자’를 가리는 지난해 5월 6일자 썰전이 가장 많은 관심을 받았다.
## 그중에서도 백화점에 입점한 ‘자외선 차단제 최강자’를 가리는 지난해 <5월 6일:DAT>자 <썰전:POH>이 가장 많은 관심을 받았다.
그중	그중	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
백화점	백화점	NNG	O
에	에	JKB	O
_	_	_	O
입점	입점	NNG	O
한	한	NNP	O
_	_	_	O
‘	‘	SS	O
자외선	자외선	NNG	O
_	_	_	O
차단	차단	NNG	O
제	제	XSN	O
_	_	_	O
최	최	XPN	O
강자	강자	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
가리	가리	VV	O
는	는	ETM	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
일자	일자	NNG	O
_	_	_	O
썰	썰	NNG	B-POH
전	전	XSN	I-POH
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그동안 세 차례 무료개안을 수술을 통해 1000명이 넘는 환자가 시력을 찾을 수 있게 지원했다.
## 그동안 <세 차례:NOH> 무료개안을 수술을 통해 <1000명:NOH>이 넘는 환자가 시력을 찾을 수 있게 지원했다.
그동안	그동안	NNG	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
_	_	_	O
무료	무료	NNG	O
개안	개안	NNG	O
을	을	JKO	O
_	_	_	O
수술	수술	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
1000	1000	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
환자	환자	NNG	O
가	가	JKS	O
_	_	_	O
시력	시력	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
지원	지원하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 찬열 누나 박유라 아나운서 “아침엔 뉴스, 저녁엔 행사 진행”…변신 모습 보니 ‘화뜰짝’그룹 엑소(EXO) 찬열의 누나인 박유라 아나운서가 화제인 가운데, 그의 눈부신 드레스 자태도 관심을 모았다.
## <찬열:PER> 누나 <박유라:PER> 아나운서 “아침엔 뉴스, 저녁엔 행사 진행”…변신 모습 보니 ‘화뜰짝’그룹 <엑소:ORG>(<EXO:ORG>) <찬열:PER>의 누나인 <박유라:PER> 아나운서가 화제인 가운데, 그의 눈부신 드레스 자태도 관심을 모았다.
찬	찬	NNG	B-PER
열	열	NNG	I-PER
_	_	_	O
누나	누나	NNG	O
_	_	_	O
박유라	박유라	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
_	_	_	O
“	“	SS	O
아침	아침	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
뉴스	뉴스	NNG	O
,	,	SP	O
_	_	_	O
저녁	저녁	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
행사	행사	NNG	O
_	_	_	O
진행	진행	NNG	O
”	”	SS	O
…	…	SE	O
변신	변신	NNG	O
_	_	_	O
모습	모습	NNG	O
_	_	_	O
보	보	VV	O
니	니	EC	O
_	_	_	O
‘	‘	SS	O
화뜰	화뜰	MAG	O
짝	짝	NNG	O
’	’	SS	O
그룹	그룹	NNG	O
_	_	_	O
엑소	엑소	NNP	B-ORG
(	(	SS	O
EXO	EXO	SL	B-ORG
)	)	SS	O
_	_	_	O
찬	찬	NNG	B-PER
열의	열의	NNG	O
_	_	_	O
누나	누나	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
박유라	박유라	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
가	가	JKS	O
_	_	_	O
화제	화제	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
가운데	가운데	NNG	O
,	,	SP	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
눈부신	눈부시+ㄴ	VA+ETM	O
_	_	_	O
드레스	드레스	NNG	O
_	_	_	O
