## 1
## 60∼80km로 시내 구간을 빠져나갈 때까지 엔진 소음은 거의 들을 수 없을 만큼 정숙했다.
## <60:NOH>∼<80km:NOH>로 시내 구간을 빠져나갈 때까지 엔진 소음은 거의 들을 수 없을 만큼 정숙했다.
60	60	SN	B-NOH
∼	∼	SO	O
80	80	SN	B-NOH
km	km	SL	I-NOH
로	로	JKB	O
_	_	_	O
시내	시내	NNG	O
_	_	_	O
구간	구간	NNG	O
을	을	JKO	O
_	_	_	O
빠져나갈	빠져나가+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
까지	까지	JX	O
_	_	_	O
엔진	엔진	NNG	O
_	_	_	O
소음	소음	NNG	O
은	은	JX	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
들	듣	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
을	을	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
정숙	정숙하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 설레임코스메틱 김성진 팀장은 “중국 내 시장에서 한국 코스메틱 제품에 대한 수요는 폭발적으로 성장하고 있다”며 “설레임코스메틱은 국내 여러 채널에서 검증된 블루밍셀 솔루션 마스크팩의 인기를 바탕으로 중국 온라인 쇼핑몰을 통해서도 뛰어난 실적을 거두고 더불어 글로벌 유통채널을 강화하여 일본, 태국, 인도네시아, 말레이시아 등 수출 경로를 다양화할 예정”이라고 말했다.
## <설레임코스메틱:ORG> <김성진:PER> 팀장은 “<중국:LOC> 내 시장에서 <한국:LOC> 코스메틱 제품에 대한 수요는 폭발적으로 성장하고 있다”며 “<설레임코스메틱:ORG>은 국내 여러 채널에서 검증된 <블루밍셀 솔루션 마스크팩:POH>의 인기를 바탕으로 <중국:LOC> 온라인 쇼핑몰을 통해서도 뛰어난 실적을 거두고 더불어 글로벌 유통채널을 강화하여 <일본:LOC>, <태국:LOC>, <인도네시아:LOC>, <말레이시아:LOC> 등 수출 경로를 다양화할 예정”이라고 말했다.
설레임	설레임	NNP	B-ORG
코스메틱	코스메틱	NNG	I-ORG
_	_	_	O
김성진	김성진	NNP	B-PER
_	_	_	O
팀장	팀장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
중국	중국	NNP	B-LOC
_	_	_	O
내	내	NNB	O
_	_	_	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
코스메틱	코스메틱	NNG	O
_	_	_	O
제품	제품	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
수요	수요	NNG	O
는	는	JX	O
_	_	_	O
폭발적	폭발적	NNG	O
으로	으로	JKB	O
_	_	_	O
성장하	성장하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
설레임	설레임	NNP	B-ORG
코스메틱	코스메틱	NNG	I-ORG
