## 1
## 최고출력은 204마력, 최대토크는 51.0kg.m으로 GLE클래스 라인업 중 가장 낮은 힘을 발휘했지만, 동급 경쟁 모델과 비교해 부족함 없는 성능이 특징이다.
## 최고출력은 <204마력:NOH>, 최대토크는 <51.0kg.m:NOH>으로 <GLE클래스 라인업:POH> 중 가장 낮은 힘을 발휘했지만, 동급 경쟁 모델과 비교해 부족함 없는 성능이 특징이다.
최고	최고	NNG	O
출력	출력	NNG	O
은	은	JX	O
_	_	_	O
204	204	SN	B-NOH
마력	마력	NNB	I-NOH
,	,	SP	O
_	_	_	O
최대	최대	NNG	O
토크	토크	NNG	O
는	는	JX	O
_	_	_	O
51.0	51.0	SN	B-NOH
kg	kg	SL	I-NOH
.	.	SF	I-NOH
m	m	SL	I-NOH
으로	으로	JKB	O
_	_	_	O
GLE	GLE	SL	B-POH
클래스	클래스	NNG	I-POH
_	_	_	I-POH
라인업	라인업	NNG	I-POH
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
낮	낮	VA	O
은	은	ETM	O
_	_	_	O
힘	힘	NNG	O
을	을	JKO	O
_	_	_	O
발휘	발휘하	VV	O
했	였	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
동급	동급	NNG	O
_	_	_	O
경쟁	경쟁	NNG	O
_	_	_	O
모델	모델	NNG	O
과	과	JC	O
_	_	_	O
비교해	비교하+여	VV+EC	O
_	_	_	O
부족함	부족하+ㅁ	VA+ETN	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
성능	성능	NNG	O
이	이	JKS	O
_	_	_	O
특징	특징	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 대한민국을 발칵 뒤집어놓고 사라진 희대의 사기꾼을 잡기 위해 ‘사기꾼 잡는 사기꾼’과 ’엘리트 검사’가 벌이는 한 판 사기극을 다룬 영화 ‘꾼’(감독 장창원·제작 ㈜영화사 두둥)이 현빈과 유지태에 이어 박성웅, 배성우, 최덕문의 캐스팅을 마치고 사기 한 판을 벌일 준비에 들어갔다.
## <대한민국:ORG>을 발칵 뒤집어놓고 사라진 희대의 사기꾼을 잡기 위해 ‘사기꾼 잡는 사기꾼’과 ’엘리트 검사’가 벌이는 <한 판:NOH> 사기극을 다룬 영화 ‘<꾼:POH>’(감독 <장창원:PER>·제작 <㈜영화사 두둥:ORG>)이 <현빈:PER>과 <유지태:PER>에 이어 <박성웅:PER>, <배성우:PER>, <최덕문:PER>의 캐스팅을 마치고 사기 <한 판:NOH>을 벌일 준비에 들어갔다.
대한민국	대한민국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
발칵	발칵	MAG	O
_	_	_	O
뒤집	뒤집	VV	O
어	어	EC	O
놓	놓	VX	O
고	고	EC	O
_	_	_	O
사라진	사라지+ㄴ	VV+ETM	O
_	_	_	O
희대	희대	NNG	O
의	의	JKG	O
_	_	_	O
사기꾼	사기꾼	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
사기꾼	사기꾼	NNG	O
_	_	_	O
잡	잡	VV	O
는	는	ETM	O
_	_	_	O
사기꾼	사기꾼	NNG	O
’	’	SS	O
과	과	JKB	O
_	_	_	O
’	’	SS	O
엘리트	엘리트	NNG	O
_	_	_	O
검사	검사	NNG	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
벌이	벌이	VV	O
는	는	ETM	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
판	판	NNB	I-NOH
_	_	_	O
사기	사기	NNG	O
극	극	NNG	O
을	을	JKO	O
_	_	_	O
다룬	다루+ㄴ	VV+ETM	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
꾼	꾼	XSN	B-POH
’	’	SS	O
(	(	SS	O
감독	감독	NNG	O
_	_	_	O
장창원	장창원	NNP	B-PER
·	·	SP	O
제작	제작	NNG	O
_	_	_	O
㈜	㈜	SW	B-ORG
영화사	영화사	NNG	I-ORG
_	_	_	I-ORG
두둥	두둥	MAG	I-ORG
)	)	SS	O
이	이	JKS	O
_	_	_	O
현빈	현빈	NNG	B-PER
과	과	JC	O
_	_	_	O
유지태	유지태	NNP	B-PER
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
박성웅	박성웅	NNP	B-PER
,	,	SP	O
_	_	_	O
배	배	NNP	B-PER
성우	성우	NNG	I-PER
,	,	SP	O
_	_	_	O
최덕문	최덕문	NNP	B-PER
의	의	JKG	O
_	_	_	O
캐스팅	캐스팅	NNG	O
을	을	JKO	O
_	_	_	O
마치	마치	VV	O
고	고	EC	O
_	_	_	O
사기	사기	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
판	판	NNG	I-NOH
을	을	JKO	O
_	_	_	O
벌일	벌이+ㄹ	VV+ETM	O
_	_	_	O
준비	준비	NNG	O
에	에	JKB	O
_	_	_	O
들어갔	들어가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 현빈은 ‘꾼’에서 사기꾼들만 골라 속이고 다니는 지능형 사기꾼 ‘황지성’으로 분한다.
## <현빈:PER>은 ‘<꾼:POH>’에서 사기꾼들만 골라 속이고 다니는 지능형 사기꾼 ‘<황지성:PER>’으로 분한다.
현빈	현빈	NNG	B-PER
은	은	JX	O
_	_	_	O
‘	‘	SS	O
꾼	꾼	XSN	B-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
사기꾼	사기꾼	NNG	O
들	들	XSN	O
만	만	JX	O
_	_	_	O
골	고르	VV	O
라	아	EC	O
_	_	_	O
속이	속이	VV	O
고	고	EC	O
_	_	_	O
다니	다니	VV	O
는	는	ETM	O
_	_	_	O
지능	지능	NNG	O
형	형	XSN	O
_	_	_	O
사기꾼	사기꾼	NNG	O
_	_	_	O
‘	‘	SS	O
황지성	황지성	NNP	B-PER
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
분한다	분하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 33세의 그는 끝내 배급 쌀로 버티다
## <33세:NOH>의 그는 끝내 배급 쌀로 버티다
33	33	SN	B-NOH
세	세	NNB	I-NOH
의	의	JKG	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
끝내	끝내	MAG	O
_	_	_	O
배급	배급	NNG	O
_	_	_	O
쌀	쌀	NNG	O
로	로	JKB	O
_	_	_	O
버티	버티	VV	O
다	다	EF	O

## 5
## 금·은화는 순도 99.9%의 순금과 순은을 사용했다.
## 금·은화는 순도 <99.9%:POH>의 순금과 순은을 사용했다.
금	금	NNG	O
·	·	SP	O
은화	은화	NNG	O
는	는	JX	O
_	_	_	O
순도	순도	NNG	O
_	_	_	O
99.9	99.9	SN	B-POH
%	%	SW	I-POH
의	의	JKG	O
_	_	_	O
순금	순금	NNG	O
과	과	JC	O
_	_	_	O
순은	순은	NNG	O
을	을	JKO	O
_	_	_	O
사용	사용하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 모든 기념주화 뒷면에는 공통으로 2018 평창 동계올림픽의 엠블럼을 새겼다.
## 모든 기념주화 뒷면에는 공통으로 <2018:DAT> <평창 동계올림픽:POH>의 엠블럼을 새겼다.
모든	모든	MM	O
_	_	_	O
기념주화	기념주화	NNG	O
_	_	_	O
뒷면	뒷면	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
공통	공통	NNG	O
으로	으로	JKB	O
_	_	_	O
2018	2018	SN	B-DAT
_	_	_	O
평창	평창	NNP	B-POH
_	_	_	I-POH
동계	동계	NNG	I-POH
올림픽	올림픽	NNG	I-POH
의	의	JKG	O
_	_	_	O
엠블럼	엠블럼	NNG	O
을	을	JKO	O
_	_	_	O
새	새기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 약 80km를 달리다 브레이크 페달을 바닥까지 밟자 노면이 다소 미끄러운 상황에서도 확실한 제동성능을 발휘하고 이때 차체가 한쪽으로 쏠리거나 불안한 반응 역시 없었다.
## 약 <80km:NOH>를 달리다 브레이크 페달을 바닥까지 밟자 노면이 다소 미끄러운 상황에서도 확실한 제동성능을 발휘하고 이때 차체가 <한쪽:NOH>으로 쏠리거나 불안한 반응 역시 없었다.
약	약	MM	O
_	_	_	O
80	80	SN	B-NOH
km	km	SL	I-NOH
를	를	JKO	O
_	_	_	O
달리	달리	VV	O
다	다	EC	O
_	_	_	O
브레이크	브레이크	NNG	O
_	_	_	O
페달	페달	NNG	O
을	을	JKO	O
_	_	_	O
바닥	바닥	NNG	O
까지	까지	JX	O
_	_	_	O
밟	밟	VV	O
자	자	EC	O
_	_	_	O
노면	노면	NNG	O
이	이	JKS	O
_	_	_	O
다소	다소	MAG	O
_	_	_	O
미끄러	미끄럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
확실한	확실하+ㄴ	VA+ETM	O
_	_	_	O
제동	제동	NNG	O
성능	성능	NNG	O
을	을	JKO	O
_	_	_	O
발휘하	발휘하	VV	O
고	고	EC	O
_	_	_	O
이때	이때	NNG	O
_	_	_	O
차체	차체	NNG	O
가	가	JKS	O
_	_	_	O
한쪽	한쪽	NNG	B-NOH
으로	으로	JKB	O
_	_	_	O
쏠리	쏠리	VV	O
거나	거나	EC	O
_	_	_	O
불안한	불안하+ㄴ	VA+ETM	O
_	_	_	O
반응	반응	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 앞서 서해어업관리단은 19일 A호 선장(41)에 대해 구속영장을 신청했으나 담보금을 납부함에 따라 조만간 선장 등 11명을 모두 풀어줄 방침이다.
## 앞서 <서해어업관리단:ORG>은 <19일:DAT> <A호:POH> 선장(<41:NOH>)에 대해 구속영장을 신청했으나 담보금을 납부함에 따라 조만간 선장 등 <11명:NOH>을 모두 풀어줄 방침이다.
앞서	앞서	MAG	O
_	_	_	O
서해	서해	NNP	B-ORG
어업	어업	NNG	I-ORG
관리	관리	NNG	I-ORG
단	단	XSN	I-ORG
은	은	JX	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
A	A	SL	B-POH
호	호	NNB	I-POH
_	_	_	O
선장	선장	NNG	O
(	(	SS	O
41	41	SN	B-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
구속	구속	NNG	O
영장	영장	NNG	O
을	을	JKO	O
_	_	_	O
신청	신청하	VV	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
담보금	담보금	NNG	O
을	을	JKO	O
_	_	_	O
납부함	납부하+ㅁ	VV+ETN	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
조만간	조만간	MAG	O
_	_	_	O
선장	선장	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
11	11	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
풀	풀	VV	O
어	어	EC	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
방침	방침	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 특히 이탈리아 중서부의 토스카나 주는 온화한 기후, 알맞은 일조량, 적절한 고도까지 갖춰 ‘와인의 땅’이라 불릴 정도로 이탈리아 최대, 최고의 와인 생산지역이다.
## 특히 <이탈리아:LOC> 중서부의 <토스카나 주:LOC>는 온화한 기후, 알맞은 일조량, 적절한 고도까지 갖춰 ‘<와인의 땅:LOC>’이라 불릴 정도로 <이탈리아:LOC> 최대, 최고의 와인 생산지역이다.
특히	특히	MAG	O
_	_	_	O
이탈리아	이탈리아	NNP	B-LOC
_	_	_	O
중서부	중서부	NNG	O
의	의	JKG	O
_	_	_	O
토스카나	토스카나	NNP	B-LOC
_	_	_	I-LOC
주	주	VV	I-LOC
는	는	ETM	O
_	_	_	O
온화한	온화하+ㄴ	VA+ETM	O
_	_	_	O
기후	기후	NNG	O
,	,	SP	O
_	_	_	O
알맞	알맞	VA	O
은	은	ETM	O
_	_	_	O
일조량	일조량	NNG	O
,	,	SP	O
_	_	_	O
적절한	적절하+ㄴ	VA+ETM	O
_	_	_	O
고도	고도	NNG	O
까지	까지	JX	O
_	_	_	O
갖춰	갖추+어	VV+EC	O
_	_	_	O
‘	‘	SS	O
와인	와인	NNG	B-LOC
의	의	JKG	I-LOC
_	_	_	I-LOC
땅	땅	NNG	I-LOC
’	’	SS	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
불릴	불리+ㄹ	VV+ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
이탈리아	이탈리아	NNP	B-LOC
_	_	_	O
최대	최대	NNG	O
,	,	SP	O
_	_	_	O
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
와인	와인	NNG	O
_	_	_	O
생산	생산	NNG	O
지역	지역	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 또한 소속사 측은 “최홍만은 검찰 조사를 받기 위해 지난주 토요일인 지난 24일 한국에 귀국했다”며 “지명 수배가 돼 있었다면 입국 즉시 공항에서 검거됐을 것”이라고 억울함을 호소했다.
## 또한 소속사 측은 “<최홍만:PER>은 검찰 조사를 받기 위해 지난주 <토요일:DAT>인 지난 <24일:DAT> <한국:LOC>에 귀국했다”며 “지명 수배가 돼 있었다면 입국 즉시 공항에서 검거됐을 것”이라고 억울함을 호소했다.
또한	또한	MAG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
최홍만	최홍만	NNP	B-PER
은	은	JX	O
_	_	_	O
검찰	검찰	NNG	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
지난주	지난주	NNG	O
_	_	_	O
토요일	토요일	NNG	B-DAT
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
귀국	귀국하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
지명	지명	NNG	O
_	_	_	O
수배	수배	NNG	O
가	가	JKC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다면	다면	EC	O
_	_	_	O
입국	입국	NNG	O
_	_	_	O
즉시	즉시	NNG	O
_	_	_	O
공항	공항	NNG	O
에서	에서	JKB	O
_	_	_	O
검거	검거되	VV	O
됐	었	EP	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
억울함	억울하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
호소	호소하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 주목할 점은 최근 10년 동안 전국 집값과 서울 아파트 가격 상승률이 예금 금리와 채권 금리보다 낮으면서 오히려 더 큰 변동성을 보였다는 것이다.
## 주목할 점은 최근 <10년:NOH> 동안 전국 집값과 <서울:LOC> 아파트 가격 상승률이 예금 금리와 채권 금리보다 낮으면서 오히려 더 큰 변동성을 보였다는 것이다.
주목할	주목하+ㄹ	VV+ETM	O
_	_	_	O
점	점	NNG	O
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
동안	동안	NNG	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
집값	집값	NNG	O
과	과	JC	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
가격	가격	NNG	O
_	_	_	O
상승	상승	NNG	O
률	률	XSN	O
이	이	JKS	O
_	_	_	O
예금	예금	NNG	O
_	_	_	O
금리	금리	NNG	O
와	와	JC	O
_	_	_	O
채권	채권	NNG	O
_	_	_	O
금리	금리	NNG	O
보다	보다	JKB	O
_	_	_	O
낮	낮	VA	O
으면서	으면서	EC	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
변동성	변동성	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 앞서 국토부는 세타2 엔진을 장착한 현대·기아차 일부 모델에서 주행 중 시동이 꺼지는 현상이 발생한다는 내용의 언론 보도가 나오고 제작결함신고센터에 유사한 사례가 접수되자 지난해 10월 교통안전공단 자동차안전연구원에 제작결함조사를 지시했다.
## 앞서 <국토부:ORG>는 <세타2:POH> 엔진을 장착한 <현대:ORG>·<기아차:ORG> 일부 모델에서 주행 중 시동이 꺼지는 현상이 발생한다는 내용의 언론 보도가 나오고 <제작결함신고센터:ORG>에 유사한 사례가 접수되자 지난해 <10월:DAT> <교통안전공단 자동차안전연구원:ORG>에 제작결함조사를 지시했다.
앞서	앞서	MAG	O
_	_	_	O
국토	국토	NNG	B-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
세타	세타	NNG	B-POH
2	2	SN	I-POH
_	_	_	O
엔진	엔진	NNG	O
을	을	JKO	O
_	_	_	O
장착한	장착하+ㄴ	VV+ETM	O
_	_	_	O
현대	현대	NNP	B-ORG
·	·	SP	O
기아차	기아차	NNP	B-ORG
_	_	_	O
일부	일부	NNG	O
_	_	_	O
모델	모델	NNG	O
에서	에서	JKB	O
_	_	_	O
주행	주행	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
시동	시동	NNG	O
이	이	JKS	O
_	_	_	O
꺼지	꺼지	VV	O
는	는	ETM	O
_	_	_	O
현상	현상	NNG	O
이	이	JKS	O
_	_	_	O
발생한다는	발생하+ㄴ다는	VV+ETM	O
_	_	_	O
내용	내용	NNG	O
의	의	JKG	O
_	_	_	O
언론	언론	NNG	O
_	_	_	O
보도	보도	NNG	O
가	가	JKS	O
_	_	_	O
나오	나오	VV	O
고	고	EC	O
_	_	_	O
제작	제작	NNG	B-ORG
결함	결함	NNG	I-ORG
신고	신고	NNG	I-ORG
센터	센터	NNG	I-ORG
에	에	JKB	O
_	_	_	O
유사한	유사하+ㄴ	VA+ETM	O
_	_	_	O
사례	사례	NNG	O
가	가	JKS	O
_	_	_	O
접수	접수	NNG	O
되	되	XSV	O
자	자	EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
교통	교통	NNG	B-ORG
안전	안전	NNG	I-ORG
공단	공단	NNG	I-ORG
_	_	_	I-ORG
자동차	자동차	NNG	I-ORG
안전	안전	NNG	I-ORG
연구원	연구원	NNG	I-ORG
에	에	JKB	O
_	_	_	O
제작	제작	NNG	O
결함	결함	NNG	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
지시	지시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 2일(현지 시간) 스페인 바르셀로나에서 개막한 ‘모바일월드콩그레스(MWC) 2015’는 사실상 글로벌 ICT 기업들이 IoT 시장을 놓고 벌이는 전쟁터다.
## <2일:DAT>(현지 시간) <스페인 바르셀로나:LOC>에서 개막한 ‘<모바일월드콩그레스:POH>(<MWC:POH>) <2015:DAT>’는 사실상 글로벌 ICT 기업들이 IoT 시장을 놓고 벌이는 전쟁터다.
2	2	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
_	_	_	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
스페인	스페인	NNP	B-LOC
_	_	_	I-LOC
바르셀로나	바르셀로나	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
개막한	개막하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
모바일	모바일	NNG	B-POH
월드	월드	NNG	I-POH
콩그레스	콩그레스	NNG	I-POH
(	(	SS	O
MWC	MWC	SL	B-POH
)	)	SS	O
_	_	_	O
2015	2015	SN	B-DAT
’	’	SS	O
는	는	JX	O
_	_	_	O
사실상	사실상	NNG	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
ICT	ICT	SL	O
_	_	_	O
