## 1
## 14일 SBS에 따르면 현지에서 20여 명의 덴마크와 스웨덴 교민들이 촛불을 들고 시위에 나섰다.
## <14일:DAT> <SBS:ORG>에 따르면 현지에서 <20여 명:NOH>의 <덴마크:LOC>와 <스웨덴:LOC> 교민들이 촛불을 들고 시위에 나섰다.
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
SBS	SBS	SL	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
현지	현지	NNG	O
에서	에서	JKB	O
_	_	_	O
20	20	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
덴마크	덴마크	NNP	B-LOC
와	와	JC	O
_	_	_	O
스웨덴	스웨덴	NNP	B-LOC
_	_	_	O
교민	교민	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
촛불	촛불	NNG	O
을	을	JKO	O
_	_	_	O
들	들	VV	O
고	고	EC	O
_	_	_	O
시위	시위	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 2006년 선호도 상위 20위 안에 외국어고는 대원외고, 명덕외고, 대일외고 등 10곳이었지만 2016년엔 5곳으로 줄었다.
## <2006년:DAT> 선호도 상위 <20위:NOH> 안에 외국어고는 <대원외고:ORG>, <명덕외고:ORG>, <대일외고:ORG> 등 <10곳:NOH>이었지만 <2016년:DAT>엔 <5곳:NOH>으로 줄었다.
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
선호도	선호도	NNG	O
_	_	_	O
상위	상위	NNG	O
_	_	_	O
20	20	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
외국어	외국어	NNG	O
고	고	NNG	O
는	는	JX	O
_	_	_	O
대원외고	대원외고	NNP	B-ORG
,	,	SP	O
_	_	_	O
명덕	명덕	NNG	B-ORG
외고	외고	NNG	I-ORG
,	,	SP	O
_	_	_	O
대일	대일	NNG	B-ORG
외고	외고	NNG	I-ORG
_	_	_	O
