## 1
## 리바운드 열세 딛고 모비스에 승리… SK는 KCC 누르고 3연패서 탈출
## 리바운드 열세 딛고 <모비스:ORG>에 승리… <SK:ORG>는 <KCC:ORG> 누르고 <3연패:NOH>서 탈출
리바운드	리바운드	NNG	O
_	_	_	O
열	열	NR	O
세	세	MM	O
_	_	_	O
딛	딛	VV	O
고	고	EC	O
_	_	_	O
모비스	모비스	NNP	B-ORG
에	에	JKB	O
_	_	_	O
승리	승리	NNG	O
…	…	SE	O
_	_	_	O
SK	SK	SL	B-ORG
는	는	JX	O
_	_	_	O
KCC	KCC	SL	B-ORG
_	_	_	O
누르	누르	VV	O
고	고	EC	O
_	_	_	O
3	3	SN	B-NOH
연패	연패	NNG	I-NOH
서	서	JKB	O
_	_	_	O
탈출	탈출	NNG	O

## 2
## 자유한국당은 28일 이은재 바른정당 의원이 전격 탈당 후 홍준표 자유한국당 후보에 대한 지지를 선언한 것과 관련 “보수 대결집이 시작됐다”고 평가했다.
## <자유한국당:ORG>은 <28일:DAT> <이은재:PER> <바른정당:ORG> 의원이 전격 탈당 후 <홍준표:PER> <자유한국당:ORG> 후보에 대한 지지를 선언한 것과 관련 “보수 대결집이 시작됐다”고 평가했다.
자유	자유	NNG	B-ORG
한국	한국	NNP	I-ORG
당	당	XSN	I-ORG
은	은	JX	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
이은재	이은재	NNP	B-PER
_	_	_	O
바른	바른	MM	B-ORG
정당	정당	NNG	I-ORG
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
전격	전격	NNG	O
_	_	_	O
탈당	탈당	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
홍준표	홍준표	NNP	B-PER
_	_	_	O
자유	자유	NNG	B-ORG
한국	한국	NNP	I-ORG
당	당	XSN	I-ORG
_	_	_	O
후보	후보	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
지지	지지	NNG	O
를	를	JKO	O
_	_	_	O
선언한	선언하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
과	과	JKB	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
“	“	SS	O
보수	보수	NNG	O
_	_	_	O
대결	대결	NNG	O
집	집	NNG	O
이	이	JKS	O
_	_	_	O
시작	시작되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
평가	평가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 국제 금융정보 제공 업체 CEIC는 2016년 인도의 경제성장률 전망치를 중국(6.8%)보다 높은 6.9%로 내다봤다.
## 국제 금융정보 제공 업체 <CEIC:ORG>는 <2016년:DAT> <인도:ORG>의 경제성장률 전망치를 <중국:ORG>(<6.8%:PNT>)보다 높은 <6.9%:PNT>로 내다봤다.
국제	국제	NNG	O
_	_	_	O
금융	금융	NNG	O
정보	정보	NNG	O
_	_	_	O
제공	제공	NNG	O
_	_	_	O
업체	업체	NNG	O
_	_	_	O
CEIC	CEIC	SL	B-ORG
는	는	JX	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
인도	인도	NNP	B-ORG
의	의	JKG	O
_	_	_	O
경제	경제	NNG	O
성장률	성장률	NNG	O
_	_	_	O
전망	전망	NNG	O
치	치	XSN	O
를	를	JKO	O
_	_	_	O
중국	중국	NNP	B-ORG
(	(	SS	O
6.8	6.8	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
6.9	6.9	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
내다	내다보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 안철수 전 국민의당 대표는 10일 박근혜 대통령의 퇴진을 요구하는 온라인 서명에 이어 오프라인 서명 운동에도 나선다.
## <안철수:PER> 전 <국민의당:ORG> 대표는 <10일:DAT> <박근혜:PER> 대통령의 퇴진을 요구하는 온라인 서명에 이어 오프라인 서명 운동에도 나선다.
안철수	안철수	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
국민	국민	NNG	B-ORG
의당	의당	MAG	I-ORG
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
퇴진	퇴진	NNG	O
을	을	JKO	O
_	_	_	O
요구하	요구하	VV	O
는	는	ETM	O
_	_	_	O
온라인	온라인	NNG	O
_	_	_	O
서명	서명	NNG	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
오프라인	오프라인	NNG	O
_	_	_	O
서명	서명	NNG	O
_	_	_	O
운동	운동	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
나선다	나서+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 안철수 전 대표는 이날 서울 마포구 홍대입구 역 앞에서 박근혜 대통령의 퇴진 촉구 서명운동을 갖는다.
## <안철수:PER> 전 대표는 이날 <서울:LOC> <마포구 홍대입구 역:LOC> 앞에서 <박근혜:PER> 대통령의 퇴진 촉구 서명운동을 갖는다.
안철수	안철수	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
마포구	마포구	NNP	B-LOC
_	_	_	I-LOC
홍대	홍대	NNP	I-LOC
입구	입구	NNG	I-LOC
_	_	_	I-LOC
역	역	NNG	I-LOC
_	_	_	O
앞	앞	NNG	O
에서	에서	JKB	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
퇴진	퇴진	NNG	O
_	_	_	O
촉구	촉구	NNG	O
_	_	_	O
서명운동	서명운동	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
는다	는다	EF	O
.	.	SF	O

## 6
## ○ 민주당 경선 레이스, 3각 구도로 재편? 경선 규칙에 대해 문 전 대표와 안희정 충남도지사, 이 시장 측은 수용 의사를 밝혔다.
## ○ <민주당:ORG> 경선 레이스, <3각:NOH> 구도로 재편? 경선 규칙에 대해 <문:PER> 전 대표와 <안희정:PER> <충남도지사:ORG>, <이:PER> 시장 측은 수용 의사를 밝혔다.
○	○	SW	O
_	_	_	O
민주당	민주당	NNP	B-ORG
_	_	_	O
경선	경선	NNG	O
_	_	_	O
레이스	레이스	NNG	O
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
각	각	NNG	I-NOH
_	_	_	O
구도	구도	NNG	O
로	로	JKB	O
_	_	_	O
재편	재편	NNG	O
?	?	SF	O
_	_	_	O
경선	경선	NNG	O
_	_	_	O
규칙	규칙	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
문	문	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
와	와	JC	O
_	_	_	O
안희정	안희정	NNP	B-PER
_	_	_	O
충남	충남	NNP	B-ORG
도지사	도지사	NNG	I-ORG
,	,	SP	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
시장	시장	NNG	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
수용	수용	NNG	O
_	_	_	O
의사	의사	NNG	O
를	를	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 홍콩바이어 매칭박람회를 주최하는 모든커뮤니케이션 이경란 대표는 “부스 형식의 박람회에 그치는 것이 아니라, 홍콩바이어를 대상으로 프리젠테이션을 할 수 있는 시간이 주어지기 때문에 매칭을 통한 더 높은 실적 달성이 예상된다”며 “홍콩 IFC몰 주변에서 한복을 입고 쇼핑객이나 관광객들에게 제품을 홍보하는 문화결합형 프로모션을 통한 홍보 효과도 기대된다”고 말했다.
