## 1
## 세월호가 침몰한 지 1072일만에 해저면에서 1m 떠올랐다.
## <세월호:POH>가 침몰한 지 <1072일만:NOH>에 해저면에서 <1m:NOH> 떠올랐다.
세월호	세월호	NNP	B-POH
가	가	JKS	O
_	_	_	O
침몰한	침몰하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
1072	1072	SN	B-NOH
일	일	NNB	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
해저면	해저면	NNG	O
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
떠올	떠오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ML에 정통한 송재우 MBC스포츠플러스 해설위원도 “이대호, 김현수 모두 경쟁력이 있다”며 “이대호는 일본에서 실력이 입증된 거포 1루수고, 김현수는 외야수뿐 아니라 1루수도 가능하다는 게 좋은 평가를 받을 수 있다”고 말했다.
## <ML:POH>에 정통한 <송재우:PER> <MBC스포츠플러스:POH> 해설위원도 “<이대호:PER>, <김현수:PER> 모두 경쟁력이 있다”며 “<이대호:PER>는 <일본:LOC>에서 실력이 입증된 거포 <1루수:NOH>고, <김현수:PER>는 외야수뿐 아니라 <1루수:NOH>도 가능하다는 게 좋은 평가를 받을 수 있다”고 말했다.
ML	ML	SL	B-POH
에	에	JKB	O
_	_	_	O
정통한	정통하+ㄴ	VV+ETM	O
_	_	_	O
송재우	송재우	NNP	B-PER
_	_	_	O
MBC	MBC	SL	B-POH
스포츠	스포츠	NNG	I-POH
플러스	플러스	NNG	I-POH
_	_	_	O
해설	해설	NNG	O
위원	위원	NNG	O
도	도	JX	O
_	_	_	O
“	“	SS	O
이대호	이대호	NNP	B-PER
,	,	SP	O
_	_	_	O
김현수	김현수	NNP	B-PER
_	_	_	O
모두	모두	MAG	O
_	_	_	O
경쟁력	경쟁력	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
이대호	이대호	NNP	B-PER
는	는	JX	O
_	_	_	O
일본	일본	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
실력	실력	NNG	O
이	이	JKS	O
_	_	_	O
입증된	입증되+ㄴ	VV+ETM	O
_	_	_	O
거포	거포	NNG	O
_	_	_	O
1	1	SN	B-NOH
루	루	NNG	I-NOH
수	수	XSN	I-NOH
고	고	JKQ	O
,	,	SP	O
_	_	_	O
김현수	김현수	NNP	B-PER
는	는	JX	O
_	_	_	O
외야수	외야수	NNG	O
뿐	뿐	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
1	1	SN	B-NOH
루	루	NNG	I-NOH
수	수	XSN	I-NOH
도	도	JX	O
_	_	_	O
가능하	가능하	VA	O
다는	다는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
평가	평가	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## [멀티뉴스] 6년짜리 '비만 프로젝트'…"아빠가 미안해"
## [<멀티뉴스:ORG>] <6년:NOH>짜리 '비만 프로젝트'…"아빠가 미안해"
[	[	SS	O
멀티	멀티	NNG	B-ORG
