## 1
## 지난 1965년 2만3081명이었던데 비해 50년 만에 81.2%(1만8744명)가 줄었다.
## 지난 <1965년:DAT> <2만3081명:NOH>이었던데 비해 <50년 만:NOH>에 <81.2%:PNT>(<1만8744명:NOH>)가 줄었다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1965	1965	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
2	2	SN	B-NOH
만	만	NR	I-NOH
3081	3081	SN	I-NOH
명	명	NNB	I-NOH
이	이	VCP	O
었	었	EP	O
던데	던+ㄴ데	ETM+EC	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
50	50	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
81.2	81.2	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
1	1	SN	B-NOH
만	만	NR	I-NOH
8744	8744	SN	I-NOH
명	명	NNB	I-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 5월 박 대통령과 3당 원내지도부 회동에서 3당 대표 회동 정례화 등 6가지 합의를 내놓은 것은 총선 참패 이후 성난 민심을 무마하기 위한 쇼였나. 나라의 존망이 걸린 위기에 국론을 한데 모으는 데 앞장서도 시원찮을 판에 지도자들이 자기주장만 늘어놓다 등을 돌려버렸다.
## <5월:DAT> <박:PER> 대통령과 <3당:NOH> 원내지도부 회동에서 <3당:NOH> 대표 회동 정례화 등 <6가지:NOH> 합의를 내놓은 것은 총선 참패 이후 성난 민심을 무마하기 위한 쇼였나. 나라의 존망이 걸린 위기에 국론을 한데 모으는 데 앞장서도 시원찮을 판에 지도자들이 자기주장만 늘어놓다 등을 돌려버렸다.
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
과	과	JC	O
_	_	_	O
3	3	SN	B-NOH
당	당	NNG	I-NOH
_	_	_	O
원내	원내	NNG	O
지도부	지도부	NNG	O
_	_	_	O
회동	회동	NNG	O
에서	에서	JKB	O
_	_	_	O
3	3	SN	B-NOH
당	당	NNG	I-NOH
_	_	_	O
대표	대표	NNG	O
_	_	_	O
회동	회동	NNG	O
_	_	_	O
정례	정례	NNG	O
화	화	XSN	O
_	_	_	O
등	등	NNB	O
_	_	_	O
6	6	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
합의	합의	NNG	O
를	를	JKO	O
_	_	_	O
내놓	내놓	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
총선	총선	NNG	O
_	_	_	O
참패	참패	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
성난	성나+ㄴ	VV+ETM	O
_	_	_	O
민심	민심	NNG	O
을	을	JKO	O
_	_	_	O
무마하	무마하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
쇼	쇼+이	NNG+VCP	O
였	었	EP	O
나	나	JC	O
.	.	SF	O
_	_	_	O
나라	나라	NNG	O
의	의	JKG	O
_	_	_	O
존망	존망	NNG	O
이	이	JKS	O
_	_	_	O
걸린	걸리+ㄴ	VV+ETM	O
_	_	_	O
위기	위기	NNG	O
에	에	JKB	O
_	_	_	O
국론	국론	NNG	O
을	을	JKO	O
_	_	_	O
한데	한데	NNG	O
_	_	_	O
모으	모으	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
앞장서	앞장서+어	VV+EC	O
도	도	JX	O
_	_	_	O
시원찮	시원찮	VA	O
을	을	ETM	O
_	_	_	O
판	판	NNB	O
에	에	JKB	O
_	_	_	O
지도자	지도자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
자기주장	자기주장	NNG	O
만	만	JX	O
_	_	_	O
늘어놓	늘어놓	VV	O
다	다	EC	O
_	_	_	O
등	등	NNG	O
을	을	JKO	O
_	_	_	O
돌려	돌리+어	VV+EC	O
버	버리	VX	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
