## 1
## 일본은 49.1로 지난해 순위 27위를 유지했다.
## <일본:ORG>은 <49.1:NOH>로 지난해 순위 <27위:NOH>를 유지했다.
일본	일본	NNP	B-ORG
은	은	JX	O
_	_	_	O
49.1	49.1	SN	B-NOH
로	로	JKB	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
순위	순위	NNG	O
_	_	_	O
27	27	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이처럼 중국에서 뜨거웠던 인기를 안고 서울로 컴백해 개최한 대회는 성공했다.
## 이처럼 <중국:LOC>에서 뜨거웠던 인기를 안고 <서울:LOC>로 컴백해 개최한 대회는 성공했다.
이	이	NP	O
처럼	처럼	JKB	O
_	_	_	O
중국	중국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
뜨거	뜨겁	VA	O
웠	었	EP	O
던	던	ETM	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
안	안	VV	O
고	고	EC	O
_	_	_	O
서울	서울	NNP	B-LOC
로	로	JKB	O
_	_	_	O
컴백해	컴백하+여	VV+EC	O
_	_	_	O
개최한	개최하+ㄴ	VV+ETM	O
_	_	_	O
대회	대회	NNG	O
는	는	JX	O
_	_	_	O
성공	성공하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이세돌 5국, 黑으로 마지막 승부…알파고의 ‘resign(포기)’ 기대
## <이세돌:PER> <5국:NOH>, 黑으로 마지막 승부…<알파고:POH>의 ‘resign(포기)’ 기대
이세돌	이세돌	NNP	B-PER
_	_	_	O
5	5	SN	B-NOH
국	국	XSN	I-NOH
,	,	SP	O
_	_	_	O
黑	黑	SH	O
으로	으로	JKB	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
승부	승부	NNG	O
…	…	SE	O
알파	알파	NNP	B-POH
고의	고의	NNG	O
_	_	_	O
‘	‘	SS	O
resign	resign	SL	O
(	(	SS	O
포기	포기	NNG	O
)	)	SS	O
’	’	SS	O
_	_	_	O
기대	기대	NNG	O

## 4
## 삼성전자는 커넥티드 카용 전장사업에 적용할 수 있는 IT·모바일 기술과 각종 부품사업을 보유하고 있지만 전장사업에 대한 노하우, 고객 관계, 프로세스 등의 역량은 부족한 편이었다.
## <삼성전자:ORG>는 커넥티드 카용 전장사업에 적용할 수 있는 IT·모바일 기술과 각종 부품사업을 보유하고 있지만 전장사업에 대한 노하우, 고객 관계, 프로세스 등의 역량은 부족한 편이었다.
삼성전자	삼성전자	NNP	B-ORG
는	는	JX	O
_	_	_	O
커넥티드	커넥티드	NNG	O
_	_	_	O
카	카	NNG	O
용	용	XSN	O
_	_	_	O
전장	전장	NNG	O
사업	사업	NNG	O
에	에	JKB	O
_	_	_	O
적용할	적용하+ㄹ	VV+ETM	O
