## 1
## 영화에도 출연하며 여러 방면에서 활동한 위키리는 1992년 미국으로 건너가 교포방송 KATV에서 ‘굿 이브닝 코리안’을 진행하는 등 미국에서 거주했다.
## 영화에도 출연하며 여러 방면에서 활동한 위키리는 <1992년:DAT> <미국:LOC>으로 건너가 교포방송 <KATV:ORG>에서 ‘<굿 이브닝 코리안:POH>’을 진행하는 등 <미국:LOC>에서 거주했다.
영화	영화	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
출연하	출연하	VV	O
며	며	EC	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
방면	방면	NNG	O
에서	에서	JKB	O
_	_	_	O
활동한	활동하+ㄴ	VV+ETM	O
_	_	_	O
위키리	위키리	NNP	O
는	는	JX	O
_	_	_	O
1992	1992	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
건너가	건너가+아	VV+EC	O
_	_	_	O
교포	교포	NNG	O
방송	방송	NNG	O
_	_	_	O
KATV	KATV	SL	B-ORG
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
굿	굿	NNG	B-POH
_	_	_	I-POH
이브닝	이브닝	NNG	I-POH
_	_	_	I-POH
코리안	코리안	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
진행하	진행하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
미국	미국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
거주	거주하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이 산업 단지가 30년이 넘었다.
## 이 산업 단지가 <30년:NOH>이 넘었다.
이	이	MM	O
_	_	_	O
산업	산업	NNG	O
_	_	_	O
단지	단지	NNG	O
가	가	JKS	O
_	_	_	O
30	30	SN	B-NOH
년	년	NNB	I-NOH
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 2013년 5월 비대위원장을 마치고 물러날 땐 ‘F’ 학점을 매겼으나 두 번째에는 훨씬 후해졌다.
## <2013년 5월:DAT> 비대위원장을 마치고 물러날 땐 ‘F’ 학점을 매겼으나 두 번째에는 훨씬 후해졌다.
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
5	5	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
비대위	비대위	NNG	O
원장	원장	NNG	O
을	을	JKO	O
_	_	_	O
마치	마치	VV	O
고	고	EC	O
_	_	_	O
물러날	물러나+ㄹ	VV+ETM	O
_	_	_	O
땐	때+ㄴ	NNG+JX	O
_	_	_	O
‘	‘	SS	O
F	F	SL	O
’	’	SS	O
_	_	_	O
학점	학점	NNG	O
을	을	JKO	O
_	_	_	O
매	매기	VV	O
겼	었	EP	O
으나	으나	EC	O
_	_	_	O
두	두	MM	O
_	_	_	O
번째	번째	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
훨씬	훨씬	MAG	O
_	_	_	O
후해	후하	VA	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 4
## “스마트폰 기술과 비슷 … 한국 세계 톱10” 드론은 경제현장뿐만 아니라 개인의 삶 속에도 깊숙이 들어올 준비를 마쳤다.
## “스마트폰 기술과 비슷 … <한국:ORG> 세계 <톱10:NOH>” 드론은 경제현장뿐만 아니라 개인의 삶 속에도 깊숙이 들어올 준비를 마쳤다.
“	“	SS	O
스마트	스마트	NNG	O
폰	폰	NNG	O
_	_	_	O
기술	기술	NNG	O
과	과	JC	O
_	_	_	O
비슷	비슷	NNG	O
_	_	_	O
…	…	SE	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
세계	세계	NNG	O
_	_	_	O
톱	톱	NNG	B-NOH
10	10	SN	I-NOH
”	”	SS	O
_	_	_	O
드론	드론	NNG	O
은	은	JX	O
_	_	_	O
경제	경제	NNG	O
현장	현장	NNG	O
뿐	뿐	JX	O
만	만	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
개인	개인	NNG	O
의	의	JKG	O
_	_	_	O
삶	삶	NNG	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
깊숙이	깊숙이	MAG	O
_	_	_	O
들어올	들어오+ㄹ	VV+ETM	O
_	_	_	O
준비	준비	NNG	O
를	를	JKO	O
_	_	_	O
마	마치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 1일 아이오와 코커스 개표 결과를 지켜보던 공화당 대선 주자 테드 크루즈 상원의원(46)은 1등이 확실해지자 이렇게 말했다.
## <1일:DAT> <아이오와 코커스:LOC> 개표 결과를 지켜보던 <공화당:ORG> 대선 주자 <테드 크루즈:PER> 상원의원(<46:NOH>)은 <1등:NOH>이 확실해지자 이렇게 말했다.
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
아이오와	아이오와	NNP	B-LOC
_	_	_	I-LOC
코커스	코커스	NNG	I-LOC
_	_	_	O
개표	개표	NNG	O
_	_	_	O
결과	결과	NNG	O
