## 1
## 민장성 동아오츠카 사장(48)은 동아에스티 사장으로 자리를 옮겼다.
## <민장성:PER> <동아오츠카:ORG> 사장(<48:NOH>)은 <동아에스티:ORG> 사장으로 자리를 옮겼다.
민	민	NNP	B-PER
장성	장성	NNG	I-PER
_	_	_	O
동아오츠카	동아오츠카	NNP	B-ORG
_	_	_	O
사장	사장	NNG	O
(	(	SS	O
48	48	SN	B-NOH
)	)	SS	O
은	은	JX	O
_	_	_	O
동아	동아	NNP	B-ORG
에스티	에스티	NNP	I-ORG
_	_	_	O
사장	사장	NNG	O
으로	으로	JKB	O
_	_	_	O
자리	자리	NNG	O
를	를	JKO	O
_	_	_	O
옮	옮기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 부산철도청은 수돗물의 악취가 갈수록 심해짐에 따라 지난 13일부터 새마을 등 전 열차에 식수로 제공되는 수돗물의 공급을 중단했고, 일부 부산시내 생수판매업체에서는 품귀현상을 빚고 있다.
## <부산철도청:ORG>은 수돗물의 악취가 갈수록 심해짐에 따라 지난 <13일:DAT>부터 <새마을:POH> 등 전 열차에 식수로 제공되는 수돗물의 공급을 중단했고, 일부 <부산시:LOC>내 생수판매업체에서는 품귀현상을 빚고 있다.
부산	부산	NNP	B-ORG
철도청	철도청	NNG	I-ORG
은	은	JX	O
_	_	_	O
수돗물	수돗물	NNG	O
의	의	JKG	O
_	_	_	O
악취	악취	NNG	O
가	가	JKS	O
_	_	_	O
갈수록	갈수록	MAG	O
_	_	_	O
심해	심하+여	VA+EC	O
짐	지+ㅁ	VX+ETN	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
새	새	MM	B-POH
마을	마을	NNG	I-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
전	전	MM	O
_	_	_	O
열차	열차	NNG	O
에	에	JKB	O
_	_	_	O
식수	식수	NNG	O
로	로	JKB	O
_	_	_	O
제공되	제공되	VV	O
는	는	ETM	O
_	_	_	O
수돗물	수돗물	NNG	O
의	의	JKG	O
_	_	_	O
공급	공급	NNG	O
을	을	JKO	O
_	_	_	O
중단	중단하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
부산	부산	NNP	B-LOC
시내	시내	NNG	O
_	_	_	O
생수	생수	NNG	O
판매	판매	NNG	O
업체	업체	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
품귀	품귀	NNG	O
현상	현상	NNG	O
을	을	JKO	O
_	_	_	O
빚	빚	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 유로존 재무장관들은 전날 심야까지 9시간에 걸친 마라톤 회의를 했으나 견해차를 좁히지 못했다.
## <유로존:LOC> 재무장관들은 전날 심야까지 <9시간:DUR>에 걸친 마라톤 회의를 했으나 견해차를 좁히지 못했다.
유로존	유로존	NNP	B-LOC
_	_	_	O
재무	재무	NNG	O
장관	장관	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
전날	전날	NNG	O
_	_	_	O
심야	심야	NNG	O
까지	까지	JX	O
_	_	_	O
9	9	SN	B-DUR
시간	시간	NNB	I-DUR
에	에	JKB	O
_	_	_	O
걸친	걸치+ㄴ	VV+ETM	O
_	_	_	O
마라톤	마라톤	NNG	O
_	_	_	O
회의	회의	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
으나	으나	EC	O
_	_	_	O
견해차	견해차	NNG	O
를	를	JKO	O
_	_	_	O
좁히	좁히	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 특히 지난 23일 전남과의 홈경기에서 2골을 몰아쳐 팀 승리(5-3)에 힘을 보탰다.
## 특히 지난 <23일:DAT> <전남:ORG>과의 홈경기에서 <2골:NOH>을 몰아쳐 팀 승리(<5-3:NOH>)에 힘을 보탰다.
특히	특히	MAG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
전남	전남	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
홈경기	홈경기	NNG	O
