## 1
## 일본 이와쿠니에 배치된 10대의 수직 이착륙 스텔스 전투기 F-35B는 6월이 돼야 16대로 늘어난다고 한다.
## <일본 이와쿠니:LOC>에 배치된 <10대:NOH>의 수직 이착륙 스텔스 전투기 <F-35B:POH>는 <6월:DAT>이 돼야 <16대:NOH>로 늘어난다고 한다.
일본	일본	NNP	B-LOC
_	_	_	I-LOC
이와쿠니	이와쿠니	NNP	I-LOC
에	에	JKB	O
_	_	_	O
배치된	배치되+ㄴ	VV+ETM	O
_	_	_	O
10	10	SN	B-NOH
대	대	NNB	I-NOH
의	의	JKG	O
_	_	_	O
수직	수직	NNG	O
_	_	_	O
이착륙	이착륙	NNG	O
_	_	_	O
스텔스	스텔스	NNP	O
_	_	_	O
전투기	전투기	NNG	O
_	_	_	O
F	F	SL	B-POH
-	-	SO	I-POH
35	35	SN	I-POH
B	B	SL	I-POH
는	는	JX	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
이	이	JKC	O
_	_	_	O
돼야	되+어야	VV+EC	O
_	_	_	O
16	16	SN	B-NOH
대	대	NNB	I-NOH
로	로	JKB	O
_	_	_	O
늘어난다고	늘어나+ㄴ다고	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 김현수(29·볼티모어 오리올스)도 타점을 기록하는 등 연속 경기 출루 행진을 이어갔다.
## <김현수:PER>(<29:NOH>·<볼티모어 오리올스:ORG>)도 타점을 기록하는 등 연속 경기 출루 행진을 이어갔다.
김현수	김현수	NNP	B-PER
(	(	SS	O
29	29	SN	B-NOH
·	·	SP	O
볼티모어	볼티모어	NNP	B-ORG
_	_	_	I-ORG
오리올스	오리올스	NNP	I-ORG
)	)	SS	O
도	도	JX	O
_	_	_	O
타점	타점	NNG	O
을	을	JKO	O
_	_	_	O
기록하	기록하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
연속	연속	NNG	O
_	_	_	O
경기	경기	NNG	O
_	_	_	O
출루	출루	NNG	O
_	_	_	O
행진	행진	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
어	어+가	EC+VX	O
갔	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 나온 이태임에게 “언니, 춥지 않아요?”라고 묻자, 1분간 정적이 흐른 뒤 이태임이 심한 욕을 하기 시작했다는 것. 또 “(이태임이) 심지어 때리려고 자세를 취해 스태프들이 뜯어 말렸다”고 B씨는 이 매체에 말했다.
## 나온 <이태임:PER>에게 “언니, 춥지 않아요?”라고 묻자, <1분간:DUR> 정적이 흐른 뒤 <이태임:PER>이 심한 욕을 하기 시작했다는 것. 또 “(<이태임:PER>이) 심지어 때리려고 자세를 취해 스태프들이 뜯어 말렸다”고 <B:PER>씨는 이 매체에 말했다.
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
이태임	이태임	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
언니	언니	NNG	O
,	,	SP	O
_	_	_	O
춥	춥	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아요	아요	EF	O
?	?	SF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
묻	묻	VV	O
자	자	EC	O
,	,	SP	O
_	_	_	O
1	1	SN	B-DUR
분	분	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
정적	정적	NNG	O
이	이	JKS	O
_	_	_	O
흐른	흐르+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
이태임	이태임	NNP	B-PER
이	이	JKS	O
_	_	_	O
심한	심하+ㄴ	VA+ETM	O
_	_	_	O
욕	욕	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
_	_	_	O
또	또	MAG	O
_	_	_	O
“	“	SS	O
(	(	SS	O
이태임	이태임	NNP	B-PER
이	이	JKS	O
)	)	SS	O
_	_	_	O
심지어	심지어	MAG	O
_	_	_	O
때리	때리	VV	O
려고	려고	EC	O
_	_	_	O
자세	자세	NNG	O
를	를	JKO	O
_	_	_	O
취해	취하+여	VV+EC	O
_	_	_	O
스태프	스태프	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
뜯	뜯	VV	O
어	어	EC	O
_	_	_	O
말	말리	VV	O
렸	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
B	B	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
매체	매체	NNG	O
에	에	JKB	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 그가 1888년 특허를 낸 ‘교류(AC) 인덕션 모터’ 기술로 스포츠카를 만들겠다는 게 테슬라의 당초 목표였다.
## 그가 <1888년:DAT> 특허를 낸 ‘<교류(AC) 인덕션 모터:POH>’ 기술로 스포츠카를 만들겠다는 게 <테슬라:ORG>의 당초 목표였다.
그	그	NP	O
가	가	JKS	O
_	_	_	O
1888	1888	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
특허	특허	NNG	O
를	를	JKO	O
_	_	_	O
낸	내+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
교류	교류	NNG	B-POH
(	(	SS	I-POH
AC	AC	SL	I-POH
)	)	SS	I-POH
_	_	_	I-POH
인덕	인덕	NNG	I-POH
션	션	NNP	I-POH
_	_	_	I-POH
모터	모터	NNG	I-POH
’	’	SS	O
_	_	_	O
기술	기술	NNG	O
로	로	JKB	O
_	_	_	O
스포츠카	스포츠카	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
테슬라	테슬라	NNP	B-ORG
의	의	JKG	O
_	_	_	O
당초	당초	NNG	O
_	_	_	O
목표	목표+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 안 대표와 박 원내대표 등은 즉각 강력한 조치가 필요하다고 했지만 다수 의원이 당헌 당규에 따른 ‘원칙 처리’를 주장한 것으로 전해졌다.
## <안:PER> 대표와 <박:PER> 원내대표 등은 즉각 강력한 조치가 필요하다고 했지만 다수 의원이 당헌 당규에 따른 ‘원칙 처리’를 주장한 것으로 전해졌다.
안	안	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
와	와	JC	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
원내	원내	NNG	O
대표	대표	NNG	O
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
즉각	즉각	MAG	O
_	_	_	O
강력한	강력하+ㄴ	VA+ETM	O
_	_	_	O
조치	조치	NNG	O
가	가	JKS	O
_	_	_	O
필요하	필요하	VA	O
다고	다고	EC	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
다수	다수	NNG	O
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
당헌	당헌	NNG	O
_	_	_	O
당규	당규	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
원칙	원칙	NNG	O
_	_	_	O
처리	처리	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
주장한	주장하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전해	전하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 2012년 6월 대법원에서 전 소속사에 15억 원을 배상하라는 판결을 받았다.
## <2012년 6월:DAT> 대법원에서 전 소속사에 <15억 원:MNY>을 배상하라는 판결을 받았다.
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
대법원	대법원	NNG	O
에서	에서	JKB	O
_	_	_	O
전	전	MM	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
에	에	JKB	O
_	_	_	O
15	15	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
배상하	배상하	VV	O
라는	라는	ETM	O
_	_	_	O
판결	판결	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이후 인터스테이지는 박 씨가 수차례 재산 추적과 압류조치에도 15억 원을 배상하지 않고, 새 소속사로부터 받은 계약금도 은닉해 강제집행을 피하려 했다고 주장하며 2013년 12월 박효신을 고소했다.
## 이후 <인터스테이지:ORG>는 <박:PER> 씨가 수차례 재산 추적과 압류조치에도 <15억 원:MNY>을 배상하지 않고, 새 소속사로부터 받은 계약금도 은닉해 강제집행을 피하려 했다고 주장하며 <2013년 12월:DAT> <박효신:PER>을 고소했다.
이후	이후	NNG	O
_	_	_	O
인터	인터	NNG	B-ORG
스테이지	스테이지	NNG	I-ORG
는	는	JX	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
수차례	수차례	NNG	O
_	_	_	O
재산	재산	NNG	O
_	_	_	O
추적	추적	NNG	O
과	과	JC	O
_	_	_	O
압류	압류	NNG	O
조치	조치	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
15	15	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
배상하	배상하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
새	새	MM	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
로부터	로부터	JKB	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
계약금	계약금	NNG	O
도	도	JX	O
_	_	_	O
은닉해	은닉하+여	VV+EC	O
_	_	_	O
강제	강제	NNG	O
집행	집행	NNG	O
을	을	JKO	O
_	_	_	O
피하	피하	VV	O
려	려	EC	O
_	_	_	O
했	+였	+EP	O
다고	다고	EC	O
_	_	_	O
주장하	주장하	VV	O
며	며	EC	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
박효신	박효신	NNP	B-PER
을	을	JKO	O
_	_	_	O
고소	고소하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 박효신 측은 당시 “배상 판결이 확정된 이후 배상금과 법정 이자를 도저히 개인적으로 변제할 수 없어 개인회생신청을 했으나 부결됐다”며 이후 현 소속사의 도움을 받아 채무를 갚았다는 점을 들어 은닉 의도가 없었다고 주장했다.
## <박효신:PER> 측은 당시 “배상 판결이 확정된 이후 배상금과 법정 이자를 도저히 개인적으로 변제할 수 없어 개인회생신청을 했으나 부결됐다”며 이후 현 소속사의 도움을 받아 채무를 갚았다는 점을 들어 은닉 의도가 없었다고 주장했다.
박효신	박효신	NNP	B-PER
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
“	“	SS	O
배상	배상	NNG	O
_	_	_	O
판결	판결	NNG	O
이	이	JKS	O
_	_	_	O
확정된	확정되+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
배상금	배상금	NNG	O
과	과	JC	O
_	_	_	O
법정	법정	NNG	O
_	_	_	O
이자	이자	NNG	O
를	를	JKO	O
_	_	_	O
도저히	도저히	MAG	O
_	_	_	O
개인적	개인적	NNG	O
으로	으로	JKB	O
_	_	_	O
변제할	변제하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
개인	개인	NNG	O
회생	회생	NNG	O
신청	신청	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
으나	으나	EC	O
_	_	_	O
부결	부결되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
현	현	MM	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
의	의	JKG	O
_	_	_	O
도움	도움	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
채무	채무	NNG	O
를	를	JKO	O
_	_	_	O
갚	갚	VV	O
았	았	EP	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
은닉	은닉	NNG	O
_	_	_	O
의도	의도	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다고	다고	EC	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 한편, 선고공판은 오는 30일 서부지법에서 열릴 예정이다.
## 한편, 선고공판은 오는 <30일:DAT> 서부지법에서 열릴 예정이다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
선고	선고	NNG	O
공판	공판	NNG	O
은	은	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
30	30	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서부	서부	NNG	O
지법	지법	NNG	O
에서	에서	JKB	O
_	_	_	O
열릴	열리+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 태연, 홀로서기도 성공적… 멤버들 응원 속 ‘아이(I)’ 음원차트 올킬소녀시대의 태연이 첫 솔로앨범을 공개하며 차트 줄세우기에 나섰다.
## <태연:PER>, 홀로서기도 성공적… 멤버들 응원 속 ‘<아이(I):POH>’ 음원차트 올킬<소녀시대:ORG>의 <태연:PER>이 첫 솔로앨범을 공개하며 차트 줄세우기에 나섰다.
태연	태연	NNG	B-PER
,	,	SP	O
_	_	_	O
홀로	홀로	MAG	O
서	서	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
성공적	성공적	NNG	O
…	…	SE	O
_	_	_	O
멤버	멤버	NNG	O
들	들	XSN	O
_	_	_	O
응원	응원	NNG	O
_	_	_	O
속	속	NNG	O
_	_	_	O
‘	‘	SS	O
아이	아이	IC	B-POH
(	(	SS	I-POH
I	I	SL	I-POH
)	)	SS	I-POH
’	’	SS	O
_	_	_	O
음원	음원	NNG	O
차트	차트	NNG	O
_	_	_	O
올	올	NNG	O
킬	킬	NNG	O
소녀	소녀	NNG	B-ORG
시대	시대	NNG	I-ORG
의	의	JKG	O
_	_	_	O
태연이	태연이	NNP	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
솔로	솔로	NNG	O
앨범	앨범	NNG	O
을	을	JKO	O
_	_	_	O
공개하	공개하	VV	O
며	며	EC	O
_	_	_	O
차트	차트	NNG	O
_	_	_	O
줄	줄	NNG	O
세우	세우	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 7일 오전 태연의 솔로앨범 타이틀곡 ‘아이(I)’는 국내 최대 음원 사이트 멜론을 비롯해 엠넷, 벅스, 올레뮤직, 지니, 네이버 뮤직, 소리바다 등에서 1위를 차지했다.
## <7일:DAT> 오전 <태연:PER>의 솔로앨범 타이틀곡 ‘<아이(I):POH>’는 국내 최대 음원 사이트 <멜론:ORG>을 비롯해 <엠넷:ORG>, <벅스:ORG>, <올레뮤직:ORG>, <지니:ORG>, <네이버 뮤직:ORG>, <소리바다:ORG> 등에서 <1위:NOH>를 차지했다.
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
_	_	_	O
태연	태연	NNG	B-PER
의	의	JKG	O
_	_	_	O
솔로	솔로	NNG	O
앨범	앨범	NNG	O
_	_	_	O
타이틀	타이틀	NNG	O
곡	곡	XSN	O
_	_	_	O
‘	‘	SS	O
아이	아이	IC	B-POH
(	(	SS	I-POH
I	I	SL	I-POH
)	)	SS	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
음원	음원	NNG	O
_	_	_	O
사이트	사이트	NNG	O
_	_	_	O
멜론	멜론	NNG	B-ORG
을	을	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
엠넷	엠넷	NNP	B-ORG
,	,	SP	O
_	_	_	O
벅스	벅스	NNG	B-ORG
,	,	SP	O
_	_	_	O
올레	올레	NNP	B-ORG
뮤직	뮤직	NNG	I-ORG
,	,	SP	O
_	_	_	O
지니	지니	NNP	B-ORG
,	,	SP	O
_	_	_	O
네이버	네이버	NNP	B-ORG
_	_	_	I-ORG
뮤직	뮤직	NNG	I-ORG
,	,	SP	O
_	_	_	O
소리	소리	NNG	B-ORG
바다	바다	NNG	I-ORG
_	_	_	O
등	등	NNB	O
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 또 앨범의 다른 수록곡들 또한 상위권에 자리잡아 이른바 차트 ‘줄세우기’에 성공했다.
## 또 <앨범:PER>의 다른 수록곡들 또한 상위권에 자리잡아 이른바 차트 ‘줄세우기’에 성공했다.
또	또	MAG	O
_	_	_	O
앨범	앨범	NNG	B-PER
의	의	JKG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
수록	수록	NNG	O
곡	곡	XSN	O
들	들	XSN	O
_	_	_	O
또한	또한	MAG	O
_	_	_	O
상위권	상위권	NNG	O
에	에	JKB	O
_	_	_	O
자리	자리	NNG	O
잡	잡	VV	O
아	아	EC	O
_	_	_	O
이른바	이른바	MAG	O
_	_	_	O
차트	차트	NNG	O
_	_	_	O
‘	‘	SS	O
줄	줄	NNG	O
세우	세우	VV	O
기	기	ETN	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
성공	성공하	VV	O
