## 1
## GS건설은 경기도 평택시 동삭동, 칠원동 일원 동삭2지구 64만2279㎡, 총 5개 블록에 ‘자이 더 익스프레스’를 조성한다.
## <GS건설:ORG>은 <경기도:LOC> <평택시:LOC> <동삭동:LOC>, <칠원동 일원 동삭2지구:LOC> <64만2279㎡:NOH>, 총 <5개:NOH> 블록에 ‘<자이 더 익스프레스:POH>’를 조성한다.
GS	GS	SL	B-ORG
건설	건설	NNG	I-ORG
은	은	JX	O
_	_	_	O
경기도	경기도	NNP	B-LOC
_	_	_	O
평택시	평택시	NNP	B-LOC
_	_	_	O
동삭동	동삭동	NNP	B-LOC
,	,	SP	O
_	_	_	O
칠원동	칠원동	NNP	B-LOC
_	_	_	I-LOC
일원	일원	NNG	I-LOC
_	_	_	I-LOC
동삭	동삭	NNG	I-LOC
2	2	SN	I-LOC
지구	지구	NNG	I-LOC
_	_	_	O
64	64	SN	B-NOH
만	만	NR	I-NOH
2279	2279	SN	I-NOH
㎡	㎡	SW	I-NOH
,	,	SP	O
_	_	_	O
총	총	MM	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
블록	블록	NNG	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
자이	자이	NNP	B-POH
_	_	_	I-POH
더	더	NNP	I-POH
_	_	_	I-POH
익스프레스	익스프레스	NNP	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
조성한다	조성하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## FJ, 스타일과 퍼포먼스 향상시킨 ‘하이퍼플렉스’ 출시
## <FJ:ORG>, 스타일과 퍼포먼스 향상시킨 ‘<하이퍼플렉스:POH>’ 출시
FJ	FJ	SL	B-ORG
,	,	SP	O
_	_	_	O
스타일	스타일	NNG	O
과	과	JC	O
_	_	_	O
퍼포먼스	퍼포먼스	NNG	O
_	_	_	O
향상	향상	NNG	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
‘	‘	SS	O
하이퍼	하이퍼	NNG	B-POH
플	플	NNG	I-POH
렉스	렉스	NNP	I-POH
’	’	SS	O
_	_	_	O
출시	출시	NNG	O

## 3
## 그 중에서도 특히 오즈모에 대한 관심이 높았다고 한다.
## 그 중에서도 특히 <오즈모:POH>에 대한 관심이 높았다고 한다.
그	그	MM	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
오즈	오즈	NNP	B-POH
모	모	XSN	I-POH
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
았	았	EP	O
다고	다고	EC	O
_	_	_	O
