## 1
## 정치인 노무현이 급할 때 쌈짓돈을 내주긴 했어도 공천을 받으려고 줄을 대지 않았다.
## 정치인 <노무현:PER>이 급할 때 쌈짓돈을 내주긴 했어도 공천을 받으려고 줄을 대지 않았다.
정치인	정치인	NNG	O
_	_	_	O
노무현이	노무현이	NNP	O
_	_	_	O
급할	급하+ㄹ	VA+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
쌈짓돈	쌈짓돈	NNG	O
을	을	JKO	O
_	_	_	O
내주	내주	VV	O
긴	기+ㄴ	ETN+JX	O
_	_	_	O
했	+였	+EP	O
어도	어도	EC	O
_	_	_	O
공천	공천	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
으려고	으려고	EC	O
_	_	_	O
줄	줄	NNG	O
을	을	JKO	O
_	_	_	O
대	대	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘국회법 개정안’유승민 새누리당 원내대표가 국회법 개정안 재의결이 무산되자 이에 안타깝다는 뜻을 전했다.
## ‘<국회법 개정안:POH>’<유승민:PER> <새누리당:ORG> 원내대표가 <국회법 개정안:POH> 재의결이 무산되자 이에 안타깝다는 뜻을 전했다.
‘	‘	SS	O
국회법	국회법	NNG	B-POH
_	_	_	I-POH
개정	개정	NNG	I-POH
안	안	NNG	I-POH
’	’	SS	O
유승민	유승민	NNP	B-PER
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
원내	원내	NNG	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
국회법	국회법	NNG	B-POH
_	_	_	I-POH
개정안	개정안	NNG	I-POH
_	_	_	O
재	재	XPN	O
의결	의결	NNG	O
이	이	JKS	O
_	_	_	O
무산되	무산되	VV	O
자	자	EC	O
_	_	_	O
이	이	NP	O
에	에	JKB	O
_	_	_	O
안타깝	안타깝	VA	O
다는	다는	ETM	O
_	_	_	O
뜻	뜻	NNG	O
을	을	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 김경민 교수는 “다행히 이때라도 골다공증 치료를 받으면 재골절 위험은 60~70%까지 줄어든다”고 말했다.
## <김경민:PER> 교수는 “다행히 이때라도 골다공증 치료를 받으면 재골절 위험은 <60:PNT>~<70%:PNT>까지 줄어든다”고 말했다.
김경민	김경민	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
다행히	다행히	MAG	O
_	_	_	O
이때	이때	NNG	O
라도	라도	JX	O
_	_	_	O
골다공증	골다공증	NNG	O
_	_	_	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
으면	으면	EC	O
_	_	_	O
재	재	XPN	O
골절	골절	NNG	O
_	_	_	O
위험	위험	NNG	O
은	은	JX	O
_	_	_	O
60	60	SN	B-PNT
~	~	SO	O
70	70	SN	B-PNT
%	%	SW	I-PNT
까지	까지	JX	O
_	_	_	O
줄어든다	줄어들+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 부드럽고 섬세한 풍미를 가진 위스키로 소비자가격은 700ml 기준 23만9000원, 알코올 도수는 43도다.
## 부드럽고 섬세한 풍미를 가진 위스키로 소비자가격은 <700ml:NOH> 기준 <23만9000원:MNY>, 알코올 도수는 <43도:NOH>다.
부드럽	부드럽	VA	O
고	고	EC	O
_	_	_	O
섬세한	섬세하+ㄴ	VA+ETM	O
_	_	_	O
풍미	풍미	NNG	O
를	를	JKO	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
위스키	위스키	NNG	O
로	로	JKB	O
_	_	_	O
소비자	소비자	NNG	O
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
700	700	SN	B-NOH
ml	ml	SL	I-NOH
_	_	_	O
기준	기준	NNG	O
_	_	_	O
23	23	SN	B-MNY
만	만	NR	I-MNY
9000	9000	SN	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
알코올	알코올	NNG	O
_	_	_	O
도수	도수	NNG	O
는	는	JX	O
_	_	_	O
43	43	SN	B-NOH
도	도+이	NNB+VCP	I-NOH
다	다	EF	O
.	.	SF	O

## 5
## “세월호 사고 이후, 현재 우리 여객선은 25년 이상 운항할 수 없다는 규제가 생겼다.
## “<세월호 사고:POH> 이후, 현재 우리 여객선은 <25년:DUR> 이상 운항할 수 없다는 규제가 생겼다.
“	“	SS	O
세월호	세월호	NNP	B-POH
_	_	_	I-POH
사고	사고	NNG	I-POH
_	_	_	O
이후	이후	NNG	O
,	,	SP	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
여객선	여객선	NNG	O
은	은	JX	O
_	_	_	O
25	25	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
이상	이상	NNG	O
_	_	_	O
운항할	운항하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다는	다는	ETM	O
_	_	_	O
규제	규제	NNG	O
가	가	JKS	O
_	_	_	O
생	생기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 시작은 2009년 12월이다.
## 시작은 <2009년 12월:DAT>이다.
시작	시작	NNG	O
은	은	JX	O
_	_	_	O
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 5.1초 만에 시속 100km… 기아車 ‘스팅어’ 베일벗다
## <5.1초:NOH> 만에 <시속 100km:NOH>… <기아:ORG>車 ‘<스팅어:POH>’ 베일벗다
5.1	5.1	SN	B-NOH
초	초	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
시속	시속	NNG	B-NOH
_	_	_	I-NOH
100	100	SN	I-NOH
km	km	SL	I-NOH
…	…	SE	O
_	_	_	O
기아	기아	NNP	B-ORG
車	車	SH	O
_	_	_	O
‘	‘	SS	O
스팅	스팅	NNG	B-POH
어	어	NNG	I-POH
’	’	SS	O
_	_	_	O
베일	베일	NNG	O
벗	벗	NNG	O
다	다	NNG	O

## 8
## 교육부는 11일 대학의 연구분위기를 활성화하기 위해 76년부터 도입된 교수재임용제가 일부 대학에서 악용되고 있다고 보고 재임용 제도를 전면 보완키로 했다.
## <교육부:ORG>는 <11일:DAT> 대학의 연구분위기를 활성화하기 위해 <76년:DAT>부터 도입된 교수재임용제가 일부 대학에서 악용되고 있다고 보고 재임용 제도를 전면 보완키로 했다.
교육부	교육부	NNG	B-ORG
는	는	JX	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
대학	대학	NNG	O
의	의	JKG	O
_	_	_	O
연구	연구	NNG	O
분위기	분위기	NNG	O
를	를	JKO	O
_	_	_	O
활성화하	활성화하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
76	76	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
도입된	도입되+ㄴ	VV+ETM	O
_	_	_	O
교수	교수	NNG	O
재임용	재임용	NNG	O
제	제	XSN	O
가	가	JKS	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
대학	대학	NNG	O
에서	에서	JKB	O
_	_	_	O
악용되	악용되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다고	다고	EC	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
재임용	재임용	NNG	O
_	_	_	O
제도	제도	NNG	O
를	를	JKO	O
_	_	_	O
전면	전면	NNG	O
_	_	_	O
보완	보완하	VV	O
키	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 9
## 맥그리거 UFC 첫 2체급 동시 석권
## <맥그리거:PER> <UFC:ORG> 첫 <2체급:NOH> 동시 석권
맥그리거	맥그리거	NNP	B-PER
_	_	_	O
UFC	UFC	SL	B-ORG
_	_	_	O
첫	첫	MM	O
_	_	_	O
2	2	SN	B-NOH
체급	체급	NNG	I-NOH
_	_	_	O
동시	동시	NNG	O
_	_	_	O
석권	석권	NNG	O

## 10
## 하지만 자신이 단호히 거절하자 그 섭섭함 때문에 성 회장이 쪽지에 자신의 이름을 남긴 것으로 추정된다는 것이다.
## 하지만 자신이 단호히 거절하자 그 섭섭함 때문에 <성:PER> 회장이 쪽지에 자신의 이름을 남긴 것으로 추정된다는 것이다.
하지만	하지만	MAJ	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
단호히	단호히	MAG	O
_	_	_	O
거절하	거절하	VV	O
자	자	EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
섭섭함	섭섭하+ㅁ	VA+ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
성	성	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
이	이	JKS	O
_	_	_	O
쪽지	쪽지	NNG	O
에	에	JKB	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
남긴	남기+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
추정된다는	추정되+ㄴ다는	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 지원 대상은 수도권에서 3년 이상 공장을 가동하고 상시 고용인원 10인 이상의 기업이다.
## 지원 대상은 <수도권:LOC>에서 <3년:DUR> 이상 공장을 가동하고 상시 고용인원 <10인:NOH> 이상의 기업이다.
지원	지원	NNG	O
_	_	_	O
대상	대상	NNG	O
은	은	JX	O
_	_	_	O
수도권	수도권	NNG	B-LOC
에서	에서	JKB	O
_	_	_	O
3	3	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
이상	이상	NNG	O
_	_	_	O
공장	공장	NNG	O
을	을	JKO	O
_	_	_	O
가동하	가동하	VV	O
고	고	EC	O
_	_	_	O
상시	상시	NNG	O
_	_	_	O
고용	고용	NNG	O
인원	인원	NNG	O
_	_	_	O
10	10	SN	B-NOH
인	인	NNG	I-NOH
_	_	_	O
이상	이상	NNG	O
의	의	JKG	O
_	_	_	O
기업	기업	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 김희애, 자살 위장한 손병호 끝까지 추적… 총성 세 발로 마무리?드라마 ‘미세스 캅’ 마지막 회가 방송된 가운데 김희애의 연기에 관심이 집중됐다.
## <김희애:PER>, 자살 위장한 <손병호:PER> 끝까지 추적… 총성 <세 발:NOH>로 마무리?드라마 ‘<미세스 캅:POH>’ 마지막 회가 방송된 가운데 <김희애:PER>의 연기에 관심이 집중됐다.
김희애	김희애	NNP	B-PER
,	,	SP	O
_	_	_	O
자살	자살	NNG	O
_	_	_	O
위장한	위장하+ㄴ	VV+ETM	O
_	_	_	O
손병호	손병호	NNP	B-PER
_	_	_	O
끝	끝	NNG	O
까지	까지	JX	O
_	_	_	O
추적	추적	NNG	O
…	…	SE	O
_	_	_	O
총성	총성	NNG	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
발	발	NNG	I-NOH
로	로	JKB	O
_	_	_	O
마무리	마무리	NNG	O
?	?	SF	O
드라마	드라마	NNG	O
