## 1
## 소프트뱅크에 남는 게 안정적인 선택이겠지만 이대호의 시선은 미국을 향하고 있다.
## <소프트뱅크:ORG>에 남는 게 안정적인 선택이겠지만 <이대호:PER>의 시선은 <미국:ORG>을 향하고 있다.
소프트뱅크	소프트뱅크	NNP	B-ORG
에	에	JKB	O
_	_	_	O
남	남	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
안정적	안정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
선택	선택	NNG	O
이	이	VCP	O
겠	겠	EP	O
지만	지만	EC	O
_	_	_	O
이대호	이대호	NNP	B-PER
의	의	JKG	O
_	_	_	O
시선	시선	NNG	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
향하	향하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 특히, 서울 소공동 본점과 연결된 영플라자 외벽에는 어두운 도시를 환하게 밝히는 ‘미디어 파사드’를 설치했다.
## 특히, <서울 소공동:LOC> 본점과 연결된 영플라자 외벽에는 어두운 도시를 환하게 밝히는 ‘<미디어 파사드:POH>’를 설치했다.
특히	특히	MAG	O
,	,	SP	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
소공동	소공동	NNP	I-LOC
_	_	_	O
본점	본점	NNG	O
과	과	JKB	O
_	_	_	O
연결된	연결되+ㄴ	VV+ETM	O
_	_	_	O
영	영	NNG	O
플라자	플라자	NNG	O
_	_	_	O
외벽	외벽	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
어두	어둡	VA	O
운	ㄴ	ETM	O
_	_	_	O
도시	도시	NNG	O
를	를	JKO	O
_	_	_	O
환하	환하	VA	O
게	게	EC	O
_	_	_	O
밝히	밝히	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
미디어	미디어	NNG	B-POH
_	_	_	I-POH
파사드	파사드	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
설치	설치하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 범종추는 진정한 종단개혁을 위해서는 ▲승풍 확립 ▲법과 제도 개혁 ▲인물 교체등 최소한 세가지 목표가 달성돼야 한다고 주장한다.
## <범종추:ORG>는 진정한 종단개혁을 위해서는 ▲승풍 확립 ▲법과 제도 개혁 ▲인물 교체등 최소한 세가지 목표가 달성돼야 한다고 주장한다.
범종	범종	NNG	B-ORG
추	추	VV	I-ORG
는	는	ETM	O
_	_	_	O
진정한	진정하+ㄴ	VA+ETM	O
_	_	_	O
종단	종단	NNG	O
개혁	개혁	NNG	O
을	을	JKO	O
_	_	_	O
위해서	위하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
▲	▲	SW	O
승풍	승풍	NNG	O
_	_	_	O
확립	확립	NNG	O
_	_	_	O
▲	▲	SW	O
법	법	NNG	O
과	과	JC	O
_	_	_	O
제도	제도	NNG	O
_	_	_	O
개혁	개혁	NNG	O
_	_	_	O
▲	▲	SW	O
인물	인물	NNG	O
_	_	_	O
교체	교체	NNG	O
등	등	NNB	O
_	_	_	O
최소한	최소한	NNG	O
_	_	_	O
세	세	MM	O
가지	가지	NNB	O
_	_	_	O
목표	목표	NNG	O
가	가	JKS	O
_	_	_	O
달성돼야	달성되+어야	VV+EC	O
_	_	_	O
한다고	하+ㄴ다고	VX+EC	O
_	_	_	O
주장한다	주장하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 그룹 주력인 GS칼텍스에선 기존 에너지 중심의 사업 포트폴리오를 화학분야로까지 넓혀가는 작업이 한창이다.
## 그룹 주력인 <GS칼텍스:ORG>에선 기존 에너지 중심의 사업 포트폴리오를 화학분야로까지 넓혀가는 작업이 한창이다.
그룹	그룹	NNG	O
_	_	_	O
주력	주력	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
GS	GS	SL	B-ORG
칼텍스	칼텍스	NNP	I-ORG
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
기존	기존	NNG	O
_	_	_	O
에너지	에너지	NNG	O
_	_	_	O
중심	중심	NNG	O
의	의	JKG	O
_	_	_	O
사업	사업	NNG	O
_	_	_	O
포트폴리오	포트폴리오	NNG	O
를	를	JKO	O
_	_	_	O
화학	화학	NNG	O
분야	분야	NNG	O
로	로	JKB	O
까지	까지	JX	O
_	_	_	O
넓혀	넓히+어	VV+EC	O
가	가	VX	O
는	는	ETM	O
_	_	_	O
작업	작업	NNG	O
이	이	JKS	O
_	_	_	O
한창	한창	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 같은 기간 사망자와 부상자도 각각 11.3%, 18.2% 증가했다.
