## 1
## 노근창 HMC투자증권 연구위원은 “새로운 색상으로 판매 열풍을 일으키기엔 S7은 출시된 지 9개월이 넘은 구모델”이라고 말했다.
## <노근창:PER> <HMC투자증권:ORG> 연구위원은 “새로운 색상으로 판매 열풍을 일으키기엔 <S7:POH>은 출시된 지 <9개월:NOH>이 넘은 구모델”이라고 말했다.
노근창	노근창	NNP	B-PER
_	_	_	O
HMC	HMC	SL	B-ORG
투자	투자	NNG	I-ORG
증권	증권	NNG	I-ORG
_	_	_	O
연구	연구	NNG	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
색상	색상	NNG	O
으로	으로	JKB	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
열풍	열풍	NNG	O
을	을	JKO	O
_	_	_	O
일으키	일으키	VV	O
기	기	ETN	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
S	S	SL	B-POH
7	7	SN	I-POH
은	은	JX	O
_	_	_	O
출시된	출시되+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
9	9	SN	B-NOH
개월	개월	NNB	I-NOH
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
은	은	ETM	O
_	_	_	O
구	구	NNG	O
모델	모델	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## “동료 치과의사나 한의사 가운데는 여성 회원 한 명당 5회에 걸쳐 한 회 최대 30만원까지 데이트 비용으로 지원받기도 했다더라”는 게 김씨의 말이다.
## “동료 치과의사나 한의사 가운데는 여성 회원 <한 명:NOH>당 <5회:NOH>에 걸쳐 <한 회:NOH> 최대 <30만원:MNY>까지 데이트 비용으로 지원받기도 했다더라”는 게 <김:PER>씨의 말이다.
“	“	SS	O
동료	동료	NNG	O
_	_	_	O
치과	치과	NNG	O
의사	의사	NNG	O
나	나	JC	O
_	_	_	O
한의사	한의사	NNG	O
_	_	_	O
가운데	가운데	NNG	O
는	는	JX	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
회원	회원	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
