## 1
## 주요 활동은 ‘연탄배달’, ‘무료급식’, ‘김장김치 전달’ 등으로 총 4400만 원 상당의 겨울나기 물품을 어려운 이웃에 후원할 예정이다.
## 주요 활동은 ‘연탄배달’, ‘무료급식’, ‘김장김치 전달’ 등으로 총 <4400만 원:MNY> 상당의 겨울나기 물품을 어려운 이웃에 후원할 예정이다.
주요	주요	NNG	O
_	_	_	O
활동	활동	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
연탄	연탄	NNG	O
배달	배달	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
무료	무료	NNG	O
급식	급식	NNG	O
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
김장	김장	NNG	O
김치	김치	NNG	O
_	_	_	O
전달	전달	NNG	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
총	총	MM	O
_	_	_	O
4400	4400	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
상당	상당	NNG	O
의	의	JKG	O
_	_	_	O
겨울나기	겨울나기	NNG	O
_	_	_	O
물품	물품	NNG	O
을	을	JKO	O
_	_	_	O
어려	어렵	VA	O
운	ㄴ	ETM	O
_	_	_	O
이웃	이웃	NNG	O
에	에	JKB	O
_	_	_	O
후원할	후원하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 조합과 시공사는 새로 책정한 분양가가 강남구 평균 분양가(3804만 원) 대비 10% 정도 높은 수준이어서 보증을 무난히 받을 것으로 기대했다.
## 조합과 시공사는 새로 책정한 분양가가 <강남구:LOC> 평균 분양가(<3804만 원:MNY>) 대비 <10%:PNT> 정도 높은 수준이어서 보증을 무난히 받을 것으로 기대했다.
조합	조합	NNG	O
과	과	JC	O
_	_	_	O
시공	시공	NNG	O
사	사	XSN	O
는	는	JX	O
_	_	_	O
새로	새로	MAG	O
_	_	_	O
책정한	책정하+ㄴ	VV+ETM	O
_	_	_	O
분양	분양	NNG	O
가	가	XSN	O
가	가	JKS	O
_	_	_	O
강남구	강남구	NNP	B-LOC
_	_	_	O
평균	평균	NNG	O
_	_	_	O
분양	분양	NNG	O
가	가	XSN	O
(	(	SS	O
3804	3804	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
10	10	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
정도	정도	NNG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
수준	수준	NNG	O
이	이	VCP	O
어서	어서	EC	O
_	_	_	O
보증	보증	NNG	O
을	을	JKO	O
_	_	_	O
무난히	무난히	MAG	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
기대	기대하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 더 이상 중국을 ‘축구 변방’이라 하지 않는다.
## 더 이상 <중국:ORG>을 ‘축구 변방’이라 하지 않는다.
더	더	MAG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
중국	중국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
‘	‘	SS	O
축구	축구	NNG	O
_	_	_	O
변방	변방	NNG	O
’	’	SS	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다	는다	EF	O
.	.	SF	O

## 4
## 문화재로 등재된 한국 만화 해외에서도 만난다
## 문화재로 등재된 <한국:LOC> 만화 해외에서도 만난다
문화재	문화재	NNG	O
로	로	JKB	O
_	_	_	O
등재된	등재되+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
만화	만화	NNG	O
_	_	_	O
해외	해외	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
만난다	만나+ㄴ다	VV+EF	O

## 5
## 도산 안창호 선생이 1902년 미국 일간지와 한 인터뷰 기사가 재미 한국 학자에 의해 처음으로 발견됐다.
## 도산 <안창호:PER> 선생이 <1902년:DAT> <미국:LOC> 일간지와 한 인터뷰 기사가 재미 <한국:ORG> 학자에 의해 처음으로 발견됐다.
도산	도산	NNP	O
_	_	_	O
안창호	안창호	NNP	B-PER
_	_	_	O
선생	선생	NNG	O
이	이	JKS	O
_	_	_	O
1902	1902	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
일간지	일간지	NNG	O
와	와	JC	O
_	_	_	O
한	한	MM	O
_	_	_	O
인터뷰	인터뷰	NNG	O
_	_	_	O
기사	기사	NNG	O
가	가	JKS	O
_	_	_	O
재미	재미	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
학자	학자	NNG	O
에	에	JKB	O
_	_	_	O
의해	의하+여	VV+EC	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
발견	발견되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 장태한 미국 리버사이드 캘리포니아대 교수는 6일 “샌프란시스코 크로니클(San Francisco Chronicle)이 1902년 12월 7일자 11면에 도산의 인터뷰를 실은 사실을 확인하고, 지면을 확보했다”고 밝혔다.
## <장태한:PER> <미국 리버사이드 캘리포니아대:ORG> 교수는 <6일:DAT> “<샌프란시스코 크로니클:ORG>(<San Francisco Chronicle:ORG>)이 <1902년 12월 7일:DAT>자 <11면:NOH>에 도산의 인터뷰를 실은 사실을 확인하고, 지면을 확보했다”고 밝혔다.
장태한	장태한	NNP	B-PER
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
리버사이드	리버사이드	NNP	I-ORG
_	_	_	I-ORG
캘리포니아대	캘리포니아대	NNP	I-ORG
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
샌프란시스코	샌프란시스코	NNP	B-ORG
_	_	_	I-ORG
크로니클	크로니클	NNG	I-ORG
(	(	SS	O
San	San	SL	B-ORG
_	_	_	I-ORG
Francisco	Francisco	SL	I-ORG
_	_	_	I-ORG
Chronicle	Chronicle	SL	I-ORG
)	)	SS	O
이	이	JKS	O
_	_	_	O
1902	1902	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
7	7	SN	I-DAT
일자	일자	NNG	O
_	_	_	O
11	11	SN	B-NOH
면	면	NNG	I-NOH
에	에	JKB	O
_	_	_	O
도산	도산	NNP	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
를	를	JKO	O
_	_	_	O
실	싣	VV	O
은	은	ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
확인하	확인하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
지면	지면	NNG	O
을	을	JKO	O
_	_	_	O
확보	확보하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 유지는 이날 본 무대에 앞서 베스티 데뷔 당시 겪은 논란과 오해를 털어놓았다.
## <유지:PER>는 이날 본 무대에 앞서 베스티 데뷔 당시 겪은 논란과 오해를 털어놓았다.
유지	유지	NNP	B-PER
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
본	보+ㄴ	VV+ETM	O
_	_	_	O
무대	무대	NNG	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
베스티	베스티	NNP	O
_	_	_	O
데뷔	데뷔	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
겪	겪	VV	O
은	은	ETM	O
_	_	_	O
논란	논란	NNG	O
과	과	JC	O
_	_	_	O
오해	오해	NNG	O
를	를	JKO	O
_	_	_	O
털어놓	털어놓	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 2골을 터트린 그는 한국의 원정 첫 16강 진출을 이끈 일등공신 중의 한 명이었다.
## <2골:NOH>을 터트린 그는 <한국:ORG>의 원정 첫 <16강:NOH> 진출을 이끈 일등공신 중의 <한 명:NOH>이었다.
2	2	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
터트린	터트리+ㄴ	VV+ETM	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
원정	원정	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
16	16	SN	B-NOH
강	강	NNG	I-NOH
_	_	_	O
진출	진출	NNG	O
을	을	JKO	O
_	_	_	O
이끈	이끌+ㄴ	VV+ETM	O
_	_	_	O
일등	일등	NNG	O
공신	공신	NNG	O
_	_	_	O
중	중	NNB	O
의	의	JKG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 「정직하게 만든 신문 밝은 미래 약속한다」/신문의날 표어 선정
## 「정직하게 만든 신문 밝은 미래 약속한다」/<신문의날:DAT> 표어 선정
「	「	SS	O
정직하	정직하	VA	O
게	게	EC	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
신문	신문	NNG	O
_	_	_	O
밝	밝	VA	O
은	은	ETM	O
_	_	_	O
미래	미래	NNG	O
_	_	_	O
약속한다	약속하+ㄴ다	VV+EF	O
」	」	SS	O
/	/	SP	O
신문	신문	NNG	B-DAT
의	의	JKG	I-DAT
날	날	NNG	I-DAT
_	_	_	O
표어	표어	NNG	O
_	_	_	O
선정	선정	NNG	O

## 10
## ‘무한도전’ 유재석, 父와 전화 통화 중 발끈 “아버지가 왜 내것을…”
## ‘<무한도전:POH>’ <유재석:PER>, 父와 전화 통화 중 발끈 “아버지가 왜 내것을…”
‘	‘	SS	O
무한도전	무한도전	NNP	B-POH
’	’	SS	O
_	_	_	O
유재석	유재석	NNP	B-PER
,	,	SP	O
_	_	_	O
父	父	SH	O
와	와	JKB	O
_	_	_	O
전화	전화	NNG	O
_	_	_	O
통화	통화	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
발끈	발끈	MAG	O
_	_	_	O
“	“	SS	O
아버지	아버지	NNG	O
가	가	JKS	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
내	나+의	NP+JKG	O
것	것	NNB	O
을	을	JKO	O
…	…	SE	O
”	”	SS	O

## 11
## ‘한국의 양키스’라는 수식어는 어느새 ‘리그를 대표하는 팀’이라는 긍정의 이미지로 바뀌었다.
## ‘<한국의 양키스:ORG>’라는 수식어는 어느새 ‘리그를 대표하는 팀’이라는 긍정의 <이미지:PER>로 바뀌었다.
‘	‘	SS	O
한국	한국	NNP	B-ORG
의	의	JKG	I-ORG
_	_	_	I-ORG
양키스	양키스	NNP	I-ORG
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
수식어	수식어	NNG	O
는	는	JX	O
_	_	_	O
어느새	어느새	MAG	O
_	_	_	O
‘	‘	SS	O
리그	리그	NNG	O
를	를	JKO	O
_	_	_	O
대표하	대표하	VV	O
는	는	ETM	O
_	_	_	O
팀	팀	NNG	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
긍정	긍정	NNG	O
의	의	JKG	O
_	_	_	O
이미지	이미지	NNG	B-PER
로	로	JKB	O
_	_	_	O
바뀌	바뀌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 염돈재 전 국가정보원 제1차장은 12일 한국국가정보학회(회장 이기덕) 주최의 ‘통일준비와 정보기관의 역할’ 세미나에 앞서 배포한 자료에서 이같이 밝혔다.
## <염돈재:PER> 전 국가정보원 <제1차장:NOH>은 <12일:DAT> <한국국가정보학회:ORG>(회장 <이기덕:PER>) 주최의 ‘<통일준비와 정보기관의 역할:POH>’ 세미나에 앞서 배포한 자료에서 이같이 밝혔다.
염돈	염돈	NNG	B-PER
재	재	XPN	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
국가	국가	NNG	O
정보	정보	NNG	O
원	원	XSN	O
_	_	_	O
제	제	XPN	B-NOH
1	1	SN	I-NOH
차장	차장	NNG	I-NOH
은	은	JX	O
_	_	_	O
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-ORG
국가	국가	NNG	I-ORG
정보	정보	NNG	I-ORG
학회	학회	NNG	I-ORG
(	(	SS	O
회장	회장	NNG	O
_	_	_	O
이기덕	이기덕	NNP	B-PER
)	)	SS	O
_	_	_	O
주최	주최	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
통일	통일	NNG	B-POH
준비	준비	NNG	I-POH
와	와	JC	I-POH
_	_	_	I-POH
정보기관	정보기관	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
역할	역할	NNG	I-POH
’	’	SS	O
_	_	_	O
세미나	세미나	NNG	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
배포한	배포하+ㄴ	VV+ETM	O
_	_	_	O
자료	자료	NNG	O
에서	에서	JKB	O
_	_	_	O
이	이	NP	O
같이	같이	JKB	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 김대중 노무현의 못다
## <김대중:PER> <노무현:PER>의 못다
김대중	김대중	NNP	B-PER
_	_	_	O
노무현	노무현	NNP	B-PER
의	의	JKG	O
_	_	_	O
못다	못다	MAG	O

