## 1
## 여기에는 롯데케미칼 연구소 인력도 합류해 식품포장소재 등에 대한 공동 연구도 진행한다.
## 여기에는 <롯데케미칼 연구소:ORG> 인력도 합류해 식품포장소재 등에 대한 공동 연구도 진행한다.
여기	여기	NP	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
롯데케미칼	롯데케미칼	NNP	B-ORG
_	_	_	I-ORG
연구소	연구소	NNG	I-ORG
_	_	_	O
인력	인력	NNG	O
도	도	JX	O
_	_	_	O
합류해	합류하+여	VV+EC	O
_	_	_	O
식품	식품	NNG	O
포장	포장	NNG	O
소재	소재	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
연구	연구	NNG	O
도	도	JX	O
_	_	_	O
진행한다	진행하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 게다가 이제는 그를 알아보는 시청자보다 그의 이름 석 자조차 모르는 시청자가 더 많다.
## 게다가 이제는 그를 알아보는 시청자보다 그의 이름 <석 자:NOH>조차 모르는 시청자가 더 많다.
게다가	게다가	MAG	O
_	_	_	O
이제	이제	NNG	O
는	는	JX	O
_	_	_	O
그	그	NP	O
를	를	JKO	O
_	_	_	O
알아보	알아보	VV	O
는	는	ETM	O
_	_	_	O
시청자	시청자	NNG	O
보다	보다	JKB	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
_	_	_	O
석	석	MM	B-NOH
_	_	_	I-NOH
자	자	NNB	I-NOH
조차	조차	JX	O
_	_	_	O
모르	모르	VV	O
는	는	ETM	O
_	_	_	O
시청자	시청자	NNG	O
가	가	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
많	많	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 미국 대통령 선거 정국에 ‘TV토론 개조론’이 거세게 일고 있다.
## <미국:ORG> 대통령 선거 정국에 ‘TV토론 개조론’이 거세게 일고 있다.
미국	미국	NNP	B-ORG
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
선거	선거	NNG	O
_	_	_	O
정국	정국	NNG	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
TV	TV	SL	O
토론	토론	NNG	O
_	_	_	O
개조	개조	NNG	O
론	론	XSN	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
