## 1
## 동탄2신도시는 29만여 명 11만6000여 가구가 들어서는 경부축 최대 규모의 신도시로 7개의 특별계획구역이 조성된다.
## <동탄2신도시:LOC>는 <29만여 명:NOH> <11만6000여 가구:NOH>가 들어서는 경부축 최대 규모의 신도시로 <7개:NOH>의 특별계획구역이 조성된다.
동탄	동탄	NNP	B-LOC
2	2	SN	I-LOC
신도시	신도시	NNG	I-LOC
는	는	JX	O
_	_	_	O
29	29	SN	B-NOH
만	만	NR	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
11	11	SN	B-NOH
만	만	NR	I-NOH
6000	6000	SN	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
가구	가구	NNG	I-NOH
가	가	JKS	O
_	_	_	O
들어서	들어서	VV	O
는	는	ETM	O
_	_	_	O
경부	경부	NNP	O
축	축	NNB	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
신도시	신도시	NNG	O
로	로	JKB	O
_	_	_	O
7	7	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
특별	특별	NNG	O
계획	계획	NNG	O
구역	구역	NNG	O
이	이	JKS	O
_	_	_	O
조성된다	조성되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 주당 40시간인 한국에 이를 적용하면 하루 10시간씩 일하면 주4일 근무도 가능하다.
## 주당 <40시간:NOH>인 <한국:ORG>에 이를 적용하면 하루 <10시간:NOH>씩 일하면 주<4일:NOH> 근무도 가능하다.
주	주	NNG	O
당	당	XSN	O
_	_	_	O
40	40	SN	B-NOH
시간	시간	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
에	에	JKB	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
적용하	적용하	VV	O
면	면	EC	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
10	10	SN	B-NOH
시간	시간	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
일하	일하	VV	O
면	면	EC	O
_	_	_	O
주	주	NNP	O
4	4	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
근무	근무	NNG	O
도	도	JX	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 3
