## 1
## 또한 불스원 본사 기술교육팀이 영국 출발 현장에 직접 방문 해 안전하게 랠리에 참여할 수 있도록 출발 전 차량을 세밀하게 정비해 주었다.
## 또한 <불스원:ORG> 본사 기술교육팀이 <영국:LOC> 출발 현장에 직접 방문 해 안전하게 랠리에 참여할 수 있도록 출발 전 차량을 세밀하게 정비해 주었다.
또한	또한	MAG	O
_	_	_	O
불스원	불스원	NNP	B-ORG
_	_	_	O
본사	본사	NNG	O
_	_	_	O
기술	기술	NNG	O
교육	교육	NNG	O
팀	팀	NNG	O
이	이	JKS	O
_	_	_	O
영국	영국	NNP	B-LOC
_	_	_	O
출발	출발	NNG	O
_	_	_	O
현장	현장	NNG	O
에	에	JKB	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
방문	방문	NNG	O
_	_	_	O
해	해	NNG	O
_	_	_	O
안전하	안전하	VA	O
게	게	EC	O
_	_	_	O
랠리	랠리	NNG	O
에	에	JKB	O
_	_	_	O
참여할	참여하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
출발	출발	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
차량	차량	NNG	O
을	을	JKO	O
_	_	_	O
세밀하	세밀하	VA	O
게	게	EC	O
_	_	_	O
정비해	정비하+여	VV+EC	O
_	_	_	O
주	주	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 불스원 마케팅 본부 한지영 상무는 “노후된 작은 차량으로 지구 환경을 생각하며 유라시아 대륙 횡단 레이스에 도전한다는 ‘몽골랠리’의 취지에 공감하여 후원을 결정하게 되었다.
## <불스원:ORG> 마케팅 본부 <한지영:PER> 상무는 “노후된 작은 차량으로 지구 환경을 생각하며 <유라시아:LOC> 대륙 횡단 레이스에 도전한다는 ‘<몽골랠리:POH>’의 취지에 공감하여 후원을 결정하게 되었다.
불스원	불스원	NNP	B-ORG
_	_	_	O
마케팅	마케팅	NNG	O
_	_	_	O
본부	본부	NNG	O
_	_	_	O
한지영	한지영	NNP	B-PER
_	_	_	O
상무	상무	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
노후	노후	NNG	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
차량	차량	NNG	O
으로	으로	JKB	O
_	_	_	O
지구	지구	NNG	O
_	_	_	O
환경	환경	NNG	O
을	을	JKO	O
_	_	_	O
생각하	생각하	VV	O
며	며	EC	O
_	_	_	O
유라시아	유라시아	NNP	B-LOC
_	_	_	O
대륙	대륙	NNG	O
_	_	_	O
횡단	횡단	NNG	O
_	_	_	O
레이스	레이스	NNG	O
에	에	JKB	O
_	_	_	O
도전한다는	도전하+ㄴ다는	VV+ETM	O
_	_	_	O
‘	‘	SS	O
몽골	몽골	NNP	B-POH
랠리	랠리	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
취지	취지	NNG	O
에	에	JKB	O
_	_	_	O
공감하	공감하	VV	O
여	여	EC	O
_	_	_	O
후원	후원	NNG	O
을	을	JKO	O
_	_	_	O
결정하	결정하	VV	O
게	게	EC	O
_	_	_	O
되	되	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 여야 3당은 여야정 협의체에 누가 참석하고 어떻게 운영할지는 각 당의 논의를 거쳐 추후 결정하기로 했다.
## 여야 <3당:NOH>은 여야정 협의체에 누가 참석하고 어떻게 운영할지는 각 당의 논의를 거쳐 추후 결정하기로 했다.
여야	여야	NNG	O
_	_	_	O
3	3	SN	B-NOH
당	당	NNG	I-NOH
은	은	JX	O
_	_	_	O
여야	여야	NNG	O
정	정	NNG	O
_	_	_	O
협의	협의	NNG	O
체	체	XSN	O
에	에	JKB	O
_	_	_	O
누	누구	NP	O
가	가	JKS	O
_	_	_	O
참석하	참석하	VV	O
고	고	EC	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
운영할지	운영하+ㄹ지	VV+EC	O
는	는	JX	O
_	_	_	O
각	각	MM	O
_	_	_	O
당	당	NNG	O
의	의	JKG	O
_	_	_	O
논의	논의	NNG	O
를	를	JKO	O
_	_	_	O
거쳐	거치+어	VV+EC	O
_	_	_	O
추후	추후	NNG	O
_	_	_	O
결정하	결정하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 김대중씨, 김 대통령 초청/12월 아태민주지도자대회 연사로
## <김대중:PER>씨, <김:PER> 대통령 초청/<12월:DAT> <아태민주지도자대회:POH> 연사로
김대중	김대중	NNP	B-PER
씨	씨	NNB	O
,	,	SP	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
초청	초청	NNG	O
/	/	SP	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
아태	아태	NNP	B-POH
민주	민주	NNG	I-POH
지도자	지도자	NNG	I-POH
대회	대회	NNG	I-POH
_	_	_	O
연사	연사	NNG	O
로	로	JKB	O

## 5
## 이 계획은 중국과 북한·러시아 접경 지역 총생산액을 2020년까지 두 배로 늘리기 위한 경제발전 전략이다.
## 이 계획은 <중국:ORG>과 <북한:ORG>·<러시아:ORG> 접경 지역 총생산액을 <2020년:DAT>까지 <두 배:PNT>로 늘리기 위한 경제발전 전략이다.
이	이	MM	O
_	_	_	O
계획	계획	NNG	O
은	은	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
과	과	JC	O
_	_	_	O
북한	북한	NNP	B-ORG
·	·	SP	O
러시아	러시아	NNP	B-ORG
_	_	_	O
접경	접경	NNG	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
총	총	XPN	O
생산액	생산액	NNG	O
을	을	JKO	O
_	_	_	O
2020	2020	SN	B-DAT
년	년	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
두	두	MM	B-PNT
_	_	_	I-PNT
배	배	NNG	I-PNT
로	로	JKB	O
_	_	_	O
늘리	늘리	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
경제	경제	NNG	O
발전	발전	NNG	O
_	_	_	O
전략	전략	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 문 후보는 청렴·도덕성을 강점으로 내세우고 있으나 청와대 민정수석 시절인 2003년 노무현 대통령 사돈의 ‘음주사고 처리’ 의혹과 2006년 아들 준용씨의 ‘황제 채용’ 논란에서 이회창씨와 비슷한 모습을 보여주고 있다.
## <문:PER> 후보는 청렴·도덕성을 강점으로 내세우고 있으나 <청와대:ORG> 민정수석 시절인 <2003년:DAT> <노무현:PER> 대통령 사돈의 ‘음주사고 처리’ 의혹과 <2006년:DAT> 아들 <준용:PER>씨의 ‘황제 채용’ 논란에서 <이회창:PER>씨와 비슷한 모습을 보여주고 있다.
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
청렴	청렴	NNG	O
·	·	SP	O
도덕성	도덕성	NNG	O
을	을	JKO	O
_	_	_	O
강점	강점	NNG	O
으로	으로	JKB	O
_	_	_	O
내세우	내세우	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으나	으나	EC	O
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
민정	민정	NNG	O
수석	수석	NNG	O
_	_	_	O
시절	시절	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2003	2003	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
노무현	노무현	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
사돈	사돈	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
음주	음주	NNG	O
사고	사고	NNG	O
_	_	_	O
처리	처리	NNG	O
’	’	SS	O
_	_	_	O
의혹	의혹	NNG	O
과	과	JC	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
아들	아들	NNG	O
_	_	_	O
준용	준용	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
황제	황제	NNG	O
_	_	_	O
채용	채용	NNG	O
’	’	SS	O
_	_	_	O
논란	논란	NNG	O
에서	에서	JKB	O
_	_	_	O
이회창	이회창	NNP	B-PER
씨	씨	NNB	O
와	와	JKB	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 모두 제프 블라터(79) 회장의 최측근으로 꼽힌다.
## 모두 <제프 블라터:PER>(<79:NOH>) 회장의 최측근으로 꼽힌다.
모두	모두	MAG	O
_	_	_	O
제프	제프	NNP	B-PER
_	_	_	I-PER
블라터	블라터	NNP	I-PER
(	(	SS	O
79	79	SN	B-NOH
)	)	SS	O
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
최	최	XPN	O
측근	측근	NNG	O
으로	으로	JKB	O
_	_	_	O
꼽힌다	꼽히+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 마침 내 옆에 ＇아마쓰키 군, 사랑해요＇라고 일본말로 쓴 종이를 열심히 흔드는 10대 여학생이 서 있기에 물어봤다.
## 마침 내 옆에 ＇<아마쓰키:PER> 군, 사랑해요＇라고 일본말로 쓴 종이를 열심히 흔드는 <10대:NOH> 여학생이 서 있기에 물어봤다.
마침	마침	MAG	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
옆	옆	NNG	O
에	에	JKB	O
_	_	_	O
＇	＇	SS	O
아마	아마	MAG	B-PER
쓰키	쓰키	NNG	I-PER
_	_	_	O
군	군	NNG	O
,	,	SP	O
_	_	_	O
사랑해요	사랑하+여요	VV+EF	O
＇	＇	SS	O
라고	라고	JKQ	O
_	_	_	O
일본	일본	NNP	O
말	말	NNG	O
로	로	JKB	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
종이	종이	NNG	O
를	를	JKO	O
_	_	_	O
열심히	열심히	MAG	O
_	_	_	O
흔드	흔들	VV	O
는	는	ETM	O
_	_	_	O
10	10	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
여학생	여학생	NNG	O
이	이	JKS	O
_	_	_	O
서	서+어	VV+EC	O
_	_	_	O
있	있	VX	O
기에	기에	EC	O
_	_	_	O
물어	물어보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 때문에 통일은 독일경제 전체를 성장시키는 계기가 됐다고 말할 수 있습니다.
## 때문에 통일은 <독일:LOC>경제 전체를 성장시키는 계기가 됐다고 말할 수 있습니다.
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
통일	통일	NNG	O
은	은	JX	O
_	_	_	O
독일	독일	NNP	B-LOC
경제	경제	NNG	O
_	_	_	O
전체	전체	NNG	O
를	를	JKO	O
_	_	_	O
성장	성장	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
계기	계기	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다고	다고	EC	O
_	_	_	O
말할	말하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
습니다	습니다	EF	O
.	.	SF	O

## 10
