## 1
## 해피투게더3 전현무 합류…박명수, 진지한 표정으로 “소 같은 유재석, 똥도 버릴 게 없다”
## <해피투게더3:POH> <전현무:PER> 합류…<박명수:PER>, 진지한 표정으로 “소 같은 <유재석:PER>, 똥도 버릴 게 없다”
해피투게더	해피투게더	NNP	B-POH
3	3	SN	I-POH
_	_	_	O
전	전	MM	B-PER
현무	현무	NNG	I-PER
_	_	_	O
합류	합류	NNG	O
…	…	SE	O
박명수	박명수	NNP	B-PER
,	,	SP	O
_	_	_	O
진지한	진지하+ㄴ	VA+ETM	O
_	_	_	O
표정	표정	NNG	O
으로	으로	JKB	O
_	_	_	O
“	“	SS	O
소	소	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
유재석	유재석	NNP	B-PER
,	,	SP	O
_	_	_	O
똥	똥	NNG	O
도	도	JX	O
_	_	_	O
버릴	버리+ㄹ	VV+ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O

## 2
## 김고은, ‘성난 변호사’서 처음 정삭적인 역할?… 이유 들어보니 “피 안 묻혀”배우 김고은, 이선균, 임원희가 9일 오전 서울 강남구 압구정의 한 멀티플렉스에서 열린 영화 ‘성난 변호사’ 제작보고회에 참석했다.
## <김고은:PER>, ‘<성난 변호사:POH>’서 처음 정삭적인 역할?… 이유 들어보니 “피 안 묻혀”배우 <김고은:PER>, <이선균:PER>, <임원희:PER>가 <9일:DAT> 오전 <서울:LOC> <강남구:LOC> <압구정:LOC>의 한 멀티플렉스에서 열린 영화 <‘성난 변호사’ 제작보고회:POH>에 참석했다.
김고은	김고은	NNP	B-PER
,	,	SP	O
_	_	_	O
‘	‘	SS	O
성난	성나+ㄴ	VV+ETM	B-POH
_	_	_	I-POH
변호사	변호사	NNG	I-POH
’	’	SS	O
서	서	JKB	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
정삭	정삭	NNG	O
적	적	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
역할	역할	NNG	O
?	?	SF	O
…	…	SE	O
_	_	_	O
이유	이유	NNG	O
_	_	_	O
들	듣	VV	O
어	어	EC	O
보	보	VX	O
니	니	EC	O
_	_	_	O
“	“	SS	O
피	피	NNG	O
