## 1
## 제작진이 공개한 스틸사진에서는 두 사람이 서로 눈을 맞추고 다정하게 웃고 있어 관심을 모은다.
## 제작진이 공개한 스틸사진에서는 <두 사람:NOH>이 서로 눈을 맞추고 다정하게 웃고 있어 관심을 모은다.
제작진	제작진	NNG	O
이	이	JKS	O
_	_	_	O
공개한	공개하+ㄴ	VV+ETM	O
_	_	_	O
스틸	스틸	NNG	O
사진	사진	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
이	이	JKS	O
_	_	_	O
서로	서로	MAG	O
_	_	_	O
눈	눈	NNG	O
을	을	JKO	O
_	_	_	O
맞추	맞추	VV	O
고	고	EC	O
_	_	_	O
다정하	다정하	VA	O
게	게	EC	O
_	_	_	O
웃	웃	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
모은다	모으+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 지난달 개장한 이마트 몽골점에서 노브랜드의 초코칩 쿠키와 조미김 등이 인기를 끌면서 노브랜드 제품은 20일 만에 6억 원의 매출을 올렸다.
## 지난달 개장한 <이마트 몽골점:ORG>에서 노브랜드의 초코칩 쿠키와 조미김 등이 인기를 끌면서 노브랜드 제품은 <20일:NOH> 만에 <6억 원:MNY>의 매출을 올렸다.
지난달	지난달	NNG	O
_	_	_	O
개장한	개장하+ㄴ	VV+ETM	O
_	_	_	O
이마트	이마트	NNP	B-ORG
_	_	_	I-ORG
몽골	몽골	NNP	I-ORG
점	점	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
노브랜드	노브랜드	NNG	O
의	의	JKG	O
_	_	_	O
초코칩	초코칩	NNP	O
_	_	_	O
쿠키	쿠키	NNG	O
와	와	JC	O
_	_	_	O
조미	조미	NNG	O
김	김	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
끌	끌	VV	O
면서	면서	EC	O
_	_	_	O
노브랜드	노브랜드	NNG	O
_	_	_	O
제품	제품	NNG	O
은	은	JX	O
_	_	_	O
20	20	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
6	6	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
매출	매출	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
