## 1
## 또 신혼부부 등이 3억 원 이하 주택을 살 때 받을 수 있는 디딤돌 대출 한도가 집값의 60%에서 70%로 늘어난다.
## 또 신혼부부 등이 <3억 원:MNY> 이하 주택을 살 때 받을 수 있는 <디딤돌 대출:POH> 한도가 집값의 <60%:PNT>에서 <70%:PNT>로 늘어난다.
또	또	MAG	O
_	_	_	O
신혼부부	신혼부부	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
3	3	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이하	이하	NNG	O
_	_	_	O
주택	주택	NNG	O
을	을	JKO	O
_	_	_	O
살	사+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
디딤돌	디딤돌	NNG	B-POH
_	_	_	I-POH
대출	대출	NNG	I-POH
_	_	_	O
한도	한도	NNG	O
가	가	JKS	O
_	_	_	O
집값	집값	NNG	O
의	의	JKG	O
_	_	_	O
60	60	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
70	70	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
늘어난다	늘어나+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 김 의원은 “사병으로 군복무 충실해서 받았던 부대장 표창장을 공격의 대상으로 삼는 정치가 안희정의 정치가 아니지 않느냐. 민주화 운동의 선배이자 동지이며, 노무현 대통령도 같이 모셨던 분에게 사실관계가 명확한 것을 두고 억지 흠집을 낼 일도 아니지 않느냐”며 “안희정과 문재인 다 대한민국의 정치지도자가 될 분으로 저로서는 무척이나 지금 이 순간이 불편하기만 하다”고 안 지사를 성토했다.
## <김:PER> 의원은 “사병으로 군복무 충실해서 받았던 부대장 표창장을 공격의 대상으로 삼는 정치가 <안희정:PER>의 정치가 아니지 않느냐. <민주화 운동:POH>의 선배이자 동지이며, <노무현:PER> 대통령도 같이 모셨던 분에게 사실관계가 명확한 것을 두고 억지 흠집을 낼 일도 아니지 않느냐”며 “<안희정:PER>과 <문재인:PER> 다 <대한민국:ORG>의 정치지도자가 될 분으로 저로서는 무척이나 지금 이 순간이 불편하기만 하다”고 <안:PER> 지사를 성토했다.
김	김	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
사병	사병	NNG	O
으로	으로	JKB	O
_	_	_	O
군	군	NNG	O
복무	복무	NNG	O
_	_	_	O
충실해서	충실하+여서	VA+EC	O
_	_	_	O
받	받	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
부대장	부대장	NNG	O
_	_	_	O
표창장	표창장	NNG	O
을	을	JKO	O
_	_	_	O
공격	공격	NNG	O
의	의	JKG	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
삼	삼	VV	O
는	는	ETM	O
_	_	_	O
정치	정치	NNG	O
가	가	JKS	O
_	_	_	O
안희정	안희정	NNP	B-PER
의	의	JKG	O
_	_	_	O
정치	정치	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
지	지	EC	O
_	_	_	O
않	않	VX	O
느냐	느냐	EF	O
.	.	SF	O
_	_	_	O
민주화	민주화	NNG	B-POH
_	_	_	I-POH
운동	운동	NNG	I-POH
의	의	JKG	O
_	_	_	O
선배	선배	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
동지	동지	NNG	O
이	이	VCP	O
며	며	EC	O
,	,	SP	O
_	_	_	O
노무현	노무현	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
도	도	JX	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
모	모시	VV	O
셨	었	EP	O
던	던	ETM	O
_	_	_	O
분	분	NNB	O
에게	에게	JKB	O
_	_	_	O
사실	사실	NNG	O
관계	관계	NNG	O
가	가	JKS	O
_	_	_	O
명확한	명확하+ㄴ	VA+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
억지	억지	NNG	O
_	_	_	O
흠집	흠집	NNG	O
을	을	JKO	O
_	_	_	O
낼	내+ㄹ	VV+ETM	O
_	_	_	O
일	일	NNG	O
도	도	JX	O
_	_	_	O
아니	아니	VCN	O
