## 1
## 익명을 요구한 한 전문가는 “엉뚱한 복지에 돈을 쓰느라 정작 필요한 장애인 건강 증진은 방치돼 왔다”고 지적한다.
## 익명을 요구한 <한 전문가:NOH>는 “엉뚱한 복지에 돈을 쓰느라 정작 필요한 장애인 건강 증진은 방치돼 왔다”고 지적한다.
익명	익명	NNG	O
을	을	JKO	O
_	_	_	O
요구한	요구하+ㄴ	VV+ETM	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
전문가	전문가	NNG	I-NOH
는	는	JX	O
_	_	_	O
“	“	SS	O
엉뚱한	엉뚱하+ㄴ	VA+ETM	O
_	_	_	O
복지	복지	NNG	O
에	에	JKB	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
쓰	쓰	VV	O
느라	느라	EC	O
_	_	_	O
정작	정작	NNG	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
장애인	장애인	NNG	O
_	_	_	O
건강	건강	NNG	O
_	_	_	O
증진	증진	NNG	O
은	은	JX	O
_	_	_	O
방치돼	방치되+어	VV+EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
지적한다	지적하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 변용찬 한국보건사회연구원 선임연구위원은 “장애인 건강 관리는 복지 서비스나 비장애인 건강 증진과 다르다.
## <변용찬:PER> <한국보건사회연구원:ORG> 선임연구위원은 “장애인 건강 관리는 복지 서비스나 비장애인 건강 증진과 다르다.
변용찬	변용찬	NNP	B-PER
_	_	_	O
한국	한국	NNP	B-ORG
보건	보건	NNG	I-ORG
사회	사회	NNG	I-ORG
연구원	연구원	NNG	I-ORG
_	_	_	O
선임	선임	NNG	O
연구	연구	NNG	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
장애인	장애인	NNG	O
_	_	_	O
건강	건강	NNG	O
_	_	_	O
관리	관리	NNG	O
는	는	JX	O
_	_	_	O
복지	복지	NNG	O
_	_	_	O
서비스	서비스	NNG	O
나	나	JC	O
_	_	_	O
비	비	XPN	O
장애인	장애인	NNG	O
_	_	_	O
건강	건강	NNG	O
_	_	_	O
증진	증진	NNG	O
과	과	JC	O
_	_	_	O
다르	다르	VA	O
다	다	EF	O
.	.	SF	O

## 3
