## 1
## 배지영 기자 사진=서보형 객원기자간장 A to Z TIP ① 발암물질 걱정없는 ‘집간장’ 만드는 법＜준비물＞ 메주 1말(8㎏), 끓여 식힌 물 3말(54ℓ), 천일염 9되(7.2㎏), 참숯(백탄), 건고추·대추 두어개, 백탄으로 잘 소독한 항아리 1. 물 3말에 천일염 9되를 잘 섞어 투명하게 만든다.
## <배지영:PER> 기자 사진=<서보형:PER> 객원기자간장 A to Z TIP ① 발암물질 걱정없는 ‘집간장’ 만드는 법＜준비물＞ 메주 <1말:NOH>(<8㎏:NOH>), 끓여 식힌 물 <3말:NOH>(<54ℓ:NOH>), 천일염 <9되:NOH>(<7.2㎏:NOH>), 참숯(백탄), 건고추·대추 두어개, 백탄으로 잘 소독한 항아리 <1.:NOH> 물 <3말:NOH>에 천일염 <9되:NOH>를 잘 섞어 투명하게 만든다.
배지영	배지영	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
사진	사진	NNG	O
=	=	SW	O
서보형	서보형	NNP	B-PER
_	_	_	O
객원	객원	NNG	O
기자	기자	NNG	O
간장	간장	NNG	O
_	_	_	O
A	A	SL	O
_	_	_	O
to	to	SL	O
_	_	_	O
Z	Z	SL	O
_	_	_	O
TIP	TIP	SL	O
_	_	_	O
①	①	SW	O
_	_	_	O
발암	발암	NNG	O
물질	물질	NNG	O
_	_	_	O
걱정	걱정	NNG	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
집	집	NNG	O
간장	간장	NNG	O
’	’	SS	O
_	_	_	O
만드	만들	VV	O
는	는	ETM	O
_	_	_	O
법	법	NNB	O
＜	＜	SS	O
준비물	준비물	NNG	O
＞	＞	SS	O
_	_	_	O
메주	메주	NNG	O
_	_	_	O
1	1	SN	B-NOH
말	말	NNB	I-NOH
(	(	SS	O
8	8	SN	B-NOH
㎏	㎏	SW	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
끓	끓이	VV	O
여	어	EC	O
_	_	_	O
식힌	식히+ㄴ	VV+ETM	O
_	_	_	O
물	물	NNG	O
_	_	_	O
3	3	SN	B-NOH
말	말	NNB	I-NOH
(	(	SS	O
54	54	SN	B-NOH
ℓ	ℓ	SW	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
천일염	천일염	NNG	O
_	_	_	O
9	9	SN	B-NOH
되	되	NNB	I-NOH
(	(	SS	O
7.2	7.2	SN	B-NOH
㎏	㎏	SW	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
참숯	참숯	NNG	O
(	(	SS	O
백탄	백탄	NNG	O
)	)	SS	O
,	,	SP	O
_	_	_	O
건	건	XPN	O
고추	고추	NNG	O
·	·	SP	O
대추	대추	NNG	O
_	_	_	O
두어	두어	MM	O
개	개	NNB	O
,	,	SP	O
_	_	_	O
백탄	백탄	NNG	O
으로	으로	JKB	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
소독한	소독하+ㄴ	VV+ETM	O
_	_	_	O
항아리	항아리	NNG	O
_	_	_	O
1	1	SN	B-NOH
.	.	SF	I-NOH
_	_	_	O
물	물	NNG	O
_	_	_	O
3	3	SN	B-NOH
말	말	NNB	I-NOH
에	에	JKB	O
_	_	_	O
천일염	천일염	NNG	O
_	_	_	O
9	9	SN	B-NOH
되	되	NNB	I-NOH
