## 1
## 부상 중인 데이비드 베컴 외에는 베스트 라인업을 대부분 가동한 레알 마드리드는 수중전으로 그라운드 컨디션이 나빠 초반부터 고전하다 선제골을 내줬다.
## 부상 중인 <데이비드 베컴:PER> 외에는 베스트 라인업을 대부분 가동한 <레알 마드리드:ORG>는 수중전으로 그라운드 컨디션이 나빠 초반부터 고전하다 선제골을 내줬다.
부상	부상	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
데이비드	데이비드	NNP	B-PER
_	_	_	I-PER
베컴	베컴	NNP	I-PER
_	_	_	O
외	외	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
베스트	베스트	NNG	O
_	_	_	O
라인업	라인업	NNG	O
을	을	JKO	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
가동한	가동하+ㄴ	VV+ETM	O
_	_	_	O
레알	레알	NNP	B-ORG
_	_	_	I-ORG
마드리드	마드리드	NNP	I-ORG
는	는	JX	O
_	_	_	O
수중	수중	NNG	O
전	전	XSN	O
으로	으로	JKB	O
_	_	_	O
그라운드	그라운드	NNG	O
_	_	_	O
컨디션	컨디션	NNG	O
이	이	JKS	O
_	_	_	O
나	나쁘	VA	O
빠	아	EC	O
_	_	_	O
초반	초반	NNG	O
부터	부터	JX	O
_	_	_	O
고전하	고전하	VV	O
다	다	EC	O
_	_	_	O
선제골	선제골	NNG	O
을	을	JKO	O
_	_	_	O
내	내주	VV	O
줬	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## "다음 대회에는 성남 일화가 아니라 전년도 K-리그 우승팀이 출전할 수 있도록 하겠습니다."
## "다음 대회에는 <성남 일화:ORG>가 아니라 전년도 <K-리그:POH> 우승팀이 출전할 수 있도록 하겠습니다."
"	"	SS	O
다음	다음	NNG	O
_	_	_	O
대회	대회	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
성남	성남	NNP	B-ORG
_	_	_	I-ORG
일화	일화	NNP	I-ORG
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
전년도	전년도	NNG	O
_	_	_	O
K	K	SL	B-POH
-	-	SO	I-POH
리그	리그	NNG	I-POH
_	_	_	O
우승	우승	NNG	O
팀	팀	NNG	O
이	이	JKS	O
_	_	_	O
출전할	출전하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
겠	겠	EP	O
습니다	습니다	EF	O
.	.	SF	O
"	"	SS	O

## 3
